Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,wOBA
Total,ARI,206,852,772,208,114,53,9,32,128,107,63,3,154,11,5,1,15,34,8,0.269430051,0.3557429245283019
Total,OAK,175,598,538,127,69,35,1,22,76,66,41,3,144,16,3,0,16,3,2,0.236059479,0.32205042016806723
Total,3 Tms,71,192,177,21,11,5,1,4,21,11,13,2,73,0,1,1,0,3,1,0.118644067,0.17962962962962964
Total,4 Tms,235,879,769,174,86,43,1,44,89,117,91,9,243,14,5,0,14,1,0,0.22626788,0.3356666666666666
Total,ARI,286,1191,1085,318,210,56,8,44,157,144,91,5,218,10,5,0,21,12,4,0.293087557,0.3638448566610455
Total,3 Tms,221,846,732,178,117,33,3,25,107,95,97,5,164,10,6,1,12,0,2,0.243169398,0.327
Total,ARI,202,742,683,163,94,41,6,22,85,91,50,5,148,3,5,1,21,8,8,0.238653001,0.3071467391304348
Total,2 Tms,37,87,79,10,8,0,1,1,8,5,7,0,26,0,1,0,2,0,1,0.126582278,0.18241379310344827
Total,2 Tms,68,190,174,48,26,13,3,6,29,28,13,1,42,2,1,0,5,1,1,0.275862068,0.3567724867724868
Total,3 Tms,167,505,461,83,54,21,1,7,47,36,38,4,153,4,2,0,6,16,6,0.180043383,0.2347105788423154
Total,ARI,306,1189,1072,262,150,66,11,35,140,152,92,4,222,6,17,2,30,13,6,0.244402985,0.3177345731191885
Total,2 Tms,88,331,310,76,53,14,0,9,24,40,19,1,67,2,0,0,14,1,0,0.24516129,0.2960909090909091
Total,2 Tms,108,325,275,53,29,13,2,9,33,40,40,1,80,8,2,0,5,1,1,0.192727272,0.3010185185185185
Total,2 Tms,83,261,228,51,39,9,1,2,27,21,27,0,65,6,0,0,10,2,2,0.22368421,0.2877777777777778
Total,3 Tms,147,518,461,103,83,11,2,7,74,32,51,0,97,2,2,2,1,36,4,0.223427331,0.27676356589147283
Total,ARI,209,846,747,196,114,44,2,36,121,107,86,6,205,9,4,0,17,9,2,0.262382864,0.35507142857142854
Total,2 Tms,27,67,60,9,3,3,1,2,5,8,6,0,29,1,0,0,2,1,0,0.15,0.2591044776119403
Total,DET,59,191,176,40,27,8,1,4,20,20,12,0,64,1,0,2,5,0,0,0.227272727,0.28259259259259256
Total,2 Tms,63,174,153,34,21,4,0,9,20,19,18,1,48,1,2,0,6,0,0,0.222222222,0.3186127167630058
Total,SDP,189,803,702,197,94,42,2,59,149,142,89,7,214,7,5,0,11,36,7,0.28062678,0.40974874371859293
Total,ARI,203,756,690,187,125,40,9,13,76,97,59,3,137,3,4,0,13,3,1,0.271014492,0.3273970783532537
Total,2 Tms,162,555,506,101,66,19,1,15,47,61,39,0,164,6,4,0,7,3,2,0.199604743,0.2656216216216216
Total,2 Tms,115,344,318,68,44,12,4,8,26,40,22,0,98,1,3,0,4,5,1,0.213836477,0.27436046511627904
Total,3 Tms,184,591,544,147,118,22,0,7,54,42,38,0,120,8,1,0,17,5,1,0.270220588,0.30395939086294416
Total,4 Tms,137,438,408,90,68,16,2,4,34,34,23,0,103,1,3,3,6,7,2,0.220588235,0.25165517241379315
Total,TBR,190,754,655,154,92,26,3,33,94,108,84,1,192,11,4,0,14,8,0,0.235114503,0.3384462151394423
Total,2 Tms,243,1004,914,232,150,33,6,43,124,124,79,5,270,6,4,1,10,62,13,0.253829321,0.3326753507014028
Total,2 Tms,107,313,285,70,54,12,0,4,24,27,20,0,59,6,2,0,8,1,0,0.245614035,0.286964856230032
Total,3 Tms,279,1154,997,245,129,58,1,57,161,139,134,4,282,12,8,0,29,2,0,0.245737211,0.3559982563208369
Total,TBR,215,861,762,181,101,34,4,42,114,126,83,2,231,11,5,0,15,12,1,0.237532808,0.34034924330617
