Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,wOBA
Total,CHC,265,996,850,191,101,30,4,56,131,120,137,21,290,6,2,1,12,5,4,0.224705882,0.3409712525667351
Total,MIL,139,412,346,81,59,18,1,3,44,20,57,3,60,6,1,2,10,6,3,0.234104046,0.3043636363636364
Total,2 Tms,300,1233,1128,295,171,57,1,66,141,180,83,12,197,10,12,0,31,4,1,0.261524822,0.3401384111384111
Total,BOS,34,118,107,24,21,2,1,0,10,9,9,0,31,2,0,0,1,1,0,0.224299065,0.2564491525423728
Total,OAK,86,263,242,49,26,18,0,5,27,25,15,0,53,3,3,0,7,0,1,0.202479338,0.2595019011406844
Total,3 Tms,55,161,146,27,24,1,2,0,11,7,10,1,23,1,1,3,5,0,0,0.184931506,0.20715286624203824
Total,2 Tms,180,760,662,179,104,37,9,29,109,81,81,0,120,10,7,0,12,3,0,0.270392749,0.36170394736842104
Total,3 Tms,241,890,812,233,162,35,1,35,93,146,68,8,155,1,6,0,41,0,0,0.286945812,0.3437701934015927
Total,LAD,15,32,30,7,5,2,0,0,5,4,2,1,8,0,0,0,1,1,0,0.233333333,0.24538709677419354
Total,WSN,245,1026,885,254,183,43,8,20,158,82,103,0,170,24,3,11,10,24,4,0.287005649,0.35201477832512323
Total,TOR,101,378,357,83,55,14,3,11,41,44,16,1,64,5,0,0,8,3,2,0.232492997,0.28467108753315645
Total,3 Tms,102,367,317,70,37,18,0,15,47,39,45,0,121,3,1,1,2,0,0,0.220820189,0.32546721311475413
Total,3 Tms,21,56,53,11,8,1,0,2,3,4,3,0,21,0,0,0,0,0,0,0.207547169,0.25851785714285713
Total,CIN,21,50,36,9,7,1,0,1,6,3,10,0,14,2,2,0,1,0,0,0.25,0.35616
Total,LAA,170,708,643,154,95,30,0,29,70,118,52,2,93,4,9,0,25,3,0,0.239502332,0.3090509915014164
Total,BAL,12,31,29,5,2,3,0,0,1,3,2,0,5,0,0,0,2,0,0,0.172413793,0.22270967741935482
Total,OAK,28,94,84,17,13,3,0,1,9,8,9,0,29,0,0,1,4,0,0,0.202380952,0.25246236559139784
Total,BAL,12,31,29,5,2,3,0,0,1,3,2,0,5,0,0,0,2,0,0,0.172413793,0.22270967741935482
Total,2 Tms,133,489,437,108,69,25,0,14,53,67,48,1,103,2,2,0,8,0,0,0.247139588,0.3170717213114753
Total,PHI,201,815,699,162,91,33,1,37,110,114,103,2,180,5,8,0,14,10,1,0.231759656,0.33489913899138996
