Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,wOBA
Total,CHC,265,996,850,191,101,30,4,56,131,120,137,21,290,6,2,1,12,5,4,0.224705882,0.34623203285420945
Total,MIL,139,412,346,81,59,18,1,3,44,20,57,3,60,6,1,2,10,6,3,0.234104046,0.30729729729729727
Total,2 Tms,300,1233,1128,295,171,57,1,66,141,180,83,12,197,10,12,0,31,4,1,0.261524822,0.34495495495495493
Total,BOS,34,118,107,24,21,2,1,0,10,9,9,0,31,2,0,0,1,1,0,0.224299065,0.26016949152542374
Total,OAK,86,263,242,49,26,18,0,5,27,25,15,0,53,3,3,0,7,0,1,0.202479338,0.26239543726235737
Total,3 Tms,55,161,146,27,24,1,2,0,11,7,10,1,23,1,1,3,5,0,0,0.184931506,0.21146496815286622
Total,2 Tms,180,760,662,179,104,37,9,29,109,81,81,0,120,10,7,0,12,3,0,0.270392749,0.36831578947368415
Total,3 Tms,241,890,812,233,162,35,1,35,93,146,68,8,155,1,6,0,41,0,0,0.286945812,0.34820250284414106
Total,WSN,245,1026,885,254,183,43,8,20,158,82,103,0,170,24,3,11,10,24,4,0.287005649,0.35703448275862065
Total,TOR,101,378,357,83,55,14,3,11,41,44,16,1,64,5,0,0,8,3,2,0.232492997,0.2897612732095491
Total,3 Tms,102,367,317,70,37,18,0,15,47,39,45,0,121,3,1,1,2,0,0,0.220820189,0.3292349726775956
Total,LAA,170,708,643,154,95,30,0,29,70,118,52,2,93,4,9,0,25,3,0,0.239502332,0.31293201133144477
Total,OAK,28,94,84,17,13,3,0,1,9,8,9,0,29,0,0,1,4,0,0,0.202380952,0.25473118279569895
Total,2 Tms,133,489,437,108,69,25,0,14,53,67,48,1,103,2,2,0,8,0,0,0.247139588,0.3205532786885246
Total,PHI,201,815,699,162,91,33,1,37,110,114,103,2,180,5,8,0,14,10,1,0.231759656,0.33912669126691264
Total,2 Tms,27,67,60,9,3,3,1,2,5,8,6,0,29,1,0,0,2,1,0,0.15,0.2591044776119403
Total,NYY,158,654,566,153,92,25,0,36,73,97,79,2,179,5,3,0,24,1,1,0.270318021,0.3778187403993855
Total,2 Tms,165,595,544,140,82,32,3,23,67,90,40,1,146,6,5,0,12,5,4,0.257352941,0.3343602693602694
Total,OAK,189,696,624,142,92,33,0,17,69,85,64,1,147,2,6,0,13,1,0,0.227564102,0.2941007194244604
Total,COL,292,1179,1045,280,160,59,4,57,149,194,103,9,281,21,9,0,27,1,0,0.267942583,0.36295124037639004
Total,HOU,279,1159,1007,293,156,64,3,70,187,201,128,12,251,14,10,0,28,2,1,0.290963257,0.4034001743679163
Total,CIN,182,689,615,139,103,22,0,14,81,62,54,0,135,6,3,2,14,13,7,0.22601626,0.2811061946902655
Total,2 Tms,34,116,107,16,10,2,0,4,8,7,8,0,40,1,0,0,2,0,0,0.14953271,0.22482758620689652
Total,ATL,278,1268,1110,341,222,59,4,56,220,156,133,7,210,19,6,0,23,102,25,0.307207207,0.3949325931800159
Total,2 Tms,60,113,99,21,13,4,0,4,26,7,5,0,29,7,0,2,0,14,2,0.212121212,0.30216216216216213
Total,2 Tms,57,188,163,39,19,9,0,11,21,26,15,0,58,7,1,1,3,1,1,0.239263803,0.3593010752688172
Total,3 Tms,165,622,568,132,90,21,0,21,47,60,36,3,150,5,6,0,11,1,0,0.232394366,0.28960784313725485
Total,3 Tms,157,642,568,128,81,25,0,22,60,73,59,1,206,9,6,0,12,3,1,0.225352112,0.3066146645865835
Total,2 Tms,30,101,89,17,12,3,0,2,9,6,9,0,40,2,1,0,2,0,0,0.191011235,0.26079207920792075
Total,2 Tms,99,303,263,59,43,11,0,5,31,32,38,0,74,2,0,0,6,1,0,0.2243346,0.2983498349834984
Total,CIN,235,824,735,200,134,36,2,28,98,106,74,3,162,10,5,0,11,38,11,0.272108843,0.3454445797807551
Total,2 Tms,235,788,729,182,130,40,3,9,88,86,43,0,132,8,7,1,17,15,5,0.249657064,0.28753494282083863
Total,2 Tms,71,210,197,38,24,10,0,4,17,12,10,0,50,2,0,1,4,7,0,0.192893401,0.24306220095693779
Total,LAA,27,95,83,17,12,3,0,2,9,6,9,0,36,2,1,0,2,0,0,0.204819277,0.2772631578947368
Total,2 Tms,206,635,562,138,76,35,2,25,89,77,56,3,117,7,6,0,10,7,2,0.245551601,0.334140127388535
Total,TOR,103,404,339,86,44,23,0,19,53,43,61,1,141,2,2,0,5,0,0,0.253687315,0.3749627791563276
Total,LAA,44,94,81,14,9,3,0,2,12,3,10,0,30,0,0,3,1,13,3,0.172839506,0.25186813186813184
