Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,wOBA
Total,2 Tms,167,531,489,114,74,21,1,18,49,72,35,2,105,3,4,0,20,0,1,0.233128834,0.296937618147448
Total,2 Tms,139,439,385,84,51,15,1,17,41,47,43,3,90,9,2,0,13,1,0,0.218181818,0.3120183486238532
Total,NYY,129,481,419,82,38,23,1,20,43,66,49,1,120,7,6,0,6,0,0,0.195704057,0.3021041666666667
Total,CLE,233,1006,908,277,192,56,3,26,136,128,79,3,110,7,10,1,23,23,4,0.305066079,0.3591808191808192
Total,CLE,217,820,746,187,115,41,0,31,96,106,52,2,218,16,5,1,13,0,0,0.250670241,0.3250183598531212
Total,2 Tms,92,210,196,39,20,13,2,4,23,25,11,1,52,2,0,1,3,8,1,0.198979591,0.26293269230769234
Total,2 Tms,218,889,764,178,102,36,5,35,99,107,112,2,254,10,1,2,13,22,5,0.232984293,0.3414689265536723
Total,3 Tms,145,397,340,60,37,10,1,12,50,35,45,2,136,7,1,4,5,3,1,0.176470588,0.2745780051150895
Total,OAK,30,70,66,12,9,2,1,0,3,2,2,0,16,2,0,0,4,1,0,0.181818181,0.21700000000000003
Total,2 Tms,147,580,551,165,128,23,2,12,62,51,18,1,54,4,3,4,9,4,5,0.299455535,0.3244869565217391
Total,BOS,56,155,148,37,28,7,0,2,18,11,3,0,42,3,0,1,1,1,2,0.25,0.27428571428571435
Total,2 Tms,84,191,169,36,28,6,0,2,18,14,19,4,44,1,1,1,5,4,2,0.213017751,0.2570430107526882
Total,BOS,56,155,148,37,28,7,0,2,18,11,3,0,42,3,0,1,1,1,2,0.25,0.27428571428571435
Total,2 Tms,123,361,327,79,37,29,2,11,36,47,28,1,84,1,5,0,2,3,1,0.241590214,0.32180555555555557
Total,LAA,32,107,97,12,10,2,0,0,4,7,5,0,16,2,3,0,2,0,0,0.12371134,0.1526168224299065
Total,CIN,167,567,487,129,75,24,2,28,78,61,66,2,106,13,1,0,13,1,2,0.264887063,0.37732743362831855
Total,2 Tms,108,325,275,53,29,13,2,9,33,40,40,1,80,8,2,0,5,1,1,0.192727272,0.3010185185185185
Total,NYY,65,227,216,54,42,4,1,7,24,17,10,0,37,0,1,0,9,0,1,0.25,0.2902202643171806
Total,3 Tms,183,678,628,177,108,43,6,20,82,88,42,5,131,3,4,0,12,4,4,0.281847133,0.3442559523809524
Total,CLE,100,316,264,59,45,6,1,7,34,30,32,0,108,17,3,0,4,14,3,0.223484848,0.31174050632911393
Total,COL,109,436,408,112,72,22,3,15,50,53,19,0,90,7,2,0,8,0,0,0.274509803,0.337454128440367
Total,SFG,117,333,302,75,46,16,5,8,48,38,28,3,99,3,0,0,5,8,0,0.24834437,0.32293939393939386
Total,PIT,157,556,493,94,56,18,2,18,50,58,49,2,169,2,11,0,9,17,2,0.190669371,0.26764918625678125
Total,MIN,98,389,365,105,47,26,0,32,69,59,15,0,98,7,2,0,2,11,2,0.287671232,0.4047300771208226
Total,ARI,203,756,690,187,125,40,9,13,76,97,59,3,137,3,4,0,13,3,1,0.271014492,0.3273970783532537
Total,2 Tms,73,209,196,41,34,3,0,4,14,11,4,0,62,5,0,4,8,0,1,0.209183673,0.23819512195121953
Total,TEX,62,220,205,43,28,11,0,4,19,18,10,0,59,1,3,1,3,2,1,0.209756097,0.25073059360730593
Total,2 Tms,44,126,114,23,13,2,0,8,15,19,10,1,52,2,0,0,2,0,1,0.201754385,0.30848000000000003
Total,SEA,120,308,267,68,48,12,2,6,42,28,33,3,70,5,2,2,4,23,2,0.254681647,0.32401315789473684
Total,BOS,32,67,61,10,4,3,0,3,6,11,5,0,24,0,0,1,0,0,0,0.163934426,0.2593939393939394
Total,2 Tms,213,840,735,167,113,30,3,21,89,83,86,3,228,15,4,0,19,3,3,0.227210884,0.3062126642771804
Total,2 Tms,172,581,518,124,67,28,0,29,72,82,53,4,167,3,7,0,15,0,0,0.239382239,0.33285961871750436
Total,2 Tms,191,741,653,145,97,27,4,17,80,68,73,2,208,11,4,0,17,1,3,0.222052067,0.2983897158322057
Total,CHC,49,151,139,37,24,9,0,4,17,14,7,0,52,4,1,0,3,1,0,0.26618705,0.323841059602649
Total,3 Tms,176,520,481,110,66,26,1,17,67,77,22,0,119,10,6,1,12,16,4,0.228690228,0.2922157996146436
Total,4 Tms,137,438,408,90,68,16,2,4,34,34,23,0,103,1,3,3,6,7,2,0.220588235,0.25165517241379315
Total,HOU,214,720,659,154,100,31,5,18,76,76,48,0,191,10,2,1,5,13,5,0.233687405,0.2998470097357441
Total,3 Tms,32,79,67,14,10,4,0,0,8,4,6,0,16,6,0,0,1,0,0,0.208955223,0.2840506329113924
Total,2 Tms,59,197,179,46,24,13,0,9,22,19,14,0,58,1,2,0,4,0,0,0.25698324,0.34260204081632656
Total,CLE,41,140,124,22,12,7,0,3,11,11,15,0,61,1,0,0,3,0,0,0.177419354,0.26385714285714285
Total,CIN,64,242,208,42,22,6,0,14,26,38,27,0,62,7,0,0,2,0,0,0.201923076,0.33169421487603307
