Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,wOBA
Total,SFG,92,228,198,43,29,12,1,1,21,16,20,1,37,5,1,4,4,4,3,0.217171717,0.2733497757847534
Total,SFG,92,228,198,43,29,12,1,1,21,16,20,1,37,5,1,4,4,4,3,0.217171717,0.2733497757847534
Total,3 Tms,161,426,381,94,59,15,4,16,65,38,39,2,166,2,1,3,4,23,2,0.24671916,0.32527553444180524
Total,BOS,101,383,350,95,69,17,4,5,56,36,29,0,94,1,1,2,8,4,3,0.271428571,0.31361417322834645
Total,2 Tms,181,733,663,168,127,27,2,12,71,65,59,6,122,5,6,0,16,1,0,0.253393665,0.2940426409903714
Total,MIA,215,740,669,179,108,32,0,39,79,126,66,8,157,2,3,0,23,0,0,0.267563527,0.35073224043715845
Total,NYY,29,90,83,20,12,3,0,5,7,12,7,0,36,0,0,0,1,1,0,0.240963855,0.32687777777777777
Total,KCR,180,668,633,178,127,35,5,11,73,65,15,1,153,9,4,5,13,16,6,0.281200631,0.30686363636363634
Total,SDP,168,538,475,109,85,16,4,4,69,24,53,0,145,2,0,7,7,34,13,0.229473684,0.27839811320754715
Total,NYY,64,250,217,47,23,12,0,12,32,34,29,0,75,3,1,0,2,0,0,0.216589861,0.32830000000000004
Total,WSN,251,1061,923,224,136,47,2,39,146,117,124,1,241,6,8,0,26,9,5,0.24268689,0.33121415094339623
Total,2 Tms,153,694,609,174,115,35,7,17,108,69,64,1,120,12,3,6,1,13,5,0.285714285,0.35421688500727805
Total,NYM,150,418,378,95,66,21,4,4,55,24,25,2,80,6,3,6,11,14,6,0.251322751,0.290909756097561
Total,2 Tms,125,462,400,91,49,26,0,16,44,47,54,1,132,5,3,0,13,3,1,0.2275,0.3226442516268981
Total,2 Tms,242,981,837,196,119,36,12,29,130,104,127,6,214,8,8,1,12,17,5,0.234169653,0.32624332648870635
Total,2 Tms,283,1196,1046,277,155,59,1,62,171,186,131,3,342,12,7,0,19,21,6,0.264818355,0.36564794635373005
Total,2 Tms,140,553,490,138,91,29,3,15,79,61,57,2,94,2,4,0,17,4,2,0.281632653,0.347519056261343
Total,NYM,158,432,395,97,53,23,1,20,56,47,33,0,120,4,0,0,8,1,2,0.24556962,0.33285879629629633
Total,KCR,20,79,73,19,15,2,1,1,4,11,5,0,24,0,1,0,2,1,0,0.260273972,0.2888987341772152
Total,3 Tms,221,848,800,242,143,64,9,26,104,116,37,8,144,4,7,0,19,9,3,0.3025,0.35339642857142856
Total,BAL,18,63,60,13,9,3,0,1,4,8,2,0,16,0,1,0,2,0,0,0.216666666,0.24012698412698413
Total,BAL,18,63,60,13,9,3,0,1,4,8,2,0,16,0,1,0,2,0,0,0.216666666,0.24012698412698413
Total,2 Tms,79,286,265,72,41,12,1,18,32,40,19,0,90,1,1,0,0,2,0,0.271698113,0.3619265734265734
Total,SEA,76,296,269,60,34,17,1,8,31,24,27,0,77,0,0,0,2,7,3,0.223048327,0.29695608108108107
Total,CLE,107,341,282,65,29,18,2,16,41,48,53,0,74,5,1,0,7,1,4,0.230496453,0.3643607038123167
Total,2 Tms,168,532,490,126,84,27,1,14,61,46,36,1,95,3,1,0,12,2,0,0.257142857,0.31098487712665407
Total,ATL,247,1073,989,254,143,60,7,44,158,158,67,2,204,6,11,0,4,26,10,0.256825075,0.3284789915966386
Total,SEA,165,727,655,164,96,24,2,42,113,107,55,2,178,9,8,0,14,1,0,0.250381679,0.34075172413793103
Total,STL,204,749,685,177,117,31,6,23,93,79,49,6,160,11,4,0,9,25,7,0.25839416,0.3180417227456258
Total,2 Tms,134,426,381,81,45,24,1,11,53,43,39,1,145,1,2,3,2,5,2,0.212598425,0.28632227488151657
Total,CIN,148,551,491,115,92,17,0,6,64,33,42,0,94,5,2,2,11,10,10,0.234215885,0.2727777777777778
Total,2 Tms,174,403,335,74,35,20,1,18,46,58,54,2,112,11,2,1,3,2,0,0.220895522,0.34546999999999994
