date,team,name,notes
2016-08-02,Giants,• Ehire Adrianza,activated from 60-day DL
2016-08-10,Rangers,• Drew Stubbs,activated from 60-day DL
2016-11-03,White Sox,• Matt Davidson,activated from 60-day DL
2016-10-07,Athletics,• Jed Lowrie,activated from 60-day DL
2017-11-02,White Sox,• Charlie Tilson,activated from 60-day DL
2017-08-15,Dodgers,• Rob Segedin,activated from 60-day DL
2017-08-04,Padres,• Travis Jankowski,activated from 60-day DL
2017-08-28,Nationals,• Jayson Werth,activated from 60-day DL
2018-11-02,Mets,• Juan Lagares,activated from 60-day DL
2018-09-01,Phillies,• Pedro Florimon Jr.,activated from 60-day DL
2018-11-02,Royals,• Jorge Soler,activated from 60-day DL
2018-11-01,Cardinals,• Dexter Fowler,activated from 60-day DL
2019-06-17,Angels,• Justin Upton,activated from 60-day IL
2019-11-04,Yankees,• Greg Bird,activated from 60-day IL
2019-09-29,Rays,• Yandy Diaz,activated from 60-day IL
2019-09-26,Mets,• Dominic Smith,activated from 60-day IL
2019-11-04,Royals,• Kelvin Gutierrez,activated from 60-day IL
2019-10-31,Phillies,• Corey Dickerson,activated from 60-day IL
2020-09-05,Mariners,• Tom Murphy,activated from 60-day IL
2022-09-16,Braves,• Ozzie Albies,activated from 60-day IL
2022-09-20,Yankees,• Harrison Bader,activated from 60-day IL
2022-11-10,Reds,• Nick Solak,activated from 60-day IL
2022-11-08,Reds,• Nick Senzel,activated from 60-day IL
2022-10-11,Yankees,• Matt Carpenter,activated from 60-day IL
