date,team,name,notes
2016-10-27,Reds,• Yorman Rodriguez,activated from 60-day DL
2016-10-25,Padres,• Jemile Weeks,activated from 60-day DL
2016-08-02,Angels,• Cliff Pennington,activated from 60-day DL
2016-11-03,Braves,• A.J. Pierzynski,activated from 60-day DL
2018-10-29,Angels,• Chris Young,activated from 60-day DL
2018-10-29,Giants,• Pablo Sandoval,activated from 60-day DL
2019-07-23,Rays,• Matt Duffy,activated from 60-day IL
2019-08-09,Tigers,• Josh Harrison,activated from 60-day IL
2020-10-31,Marlins,• Harold Ramirez,activated from 60-day IL
2021-07-10,Diamondbacks,• Kole Calhoun,activated from 60-day IL
2021-08-04,Giants,• Tommy La Stella,activated from 60-day IL
2021-11-07,Cubs,• Nick Madrigal,activated from 60-day IL
2021-07-21,Braves,• Alex Jackson,activated from 60-day IL
2021-09-01,Brewers,• Daniel Vogelbach,activated from 60-day IL
2021-11-07,Rockies,• Connor Joe,activated from 60-day IL
2022-07-22,Pirates,• Greg Allen,activated from 60-day IL
2022-06-13,Phillies,• Rafael Marchan,activated from 60-day IL
2022-06-21,Reds,• Donovan Solano,activated from 60-day IL
2022-08-17,Dodgers,• Edwin Rios,activated from 60-day IL
2022-07-06,White Sox,• Eloy Jimenez,activated from 60-day IL
