date,team,name,notes
2017-06-01,Royals,• Hunter Dozier,activated from 60-day DL
2017-11-02,Royals,• Bubba Starling,activated from 60-day DL
2017-09-30,Nationals,• Stephen Drew,activated from 60-day DL
2018-11-01,Yankees,• Jacoby Ellsbury,activated from 60-day DL
2018-07-20,Nationals,• Ryan Zimmerman,activated from 60-day DL
2018-10-31,Marlins,• Martin Prado,activated from 60-day DL
2018-10-29,Tigers,• Jose Iglesias,activated from 60-day DL
2019-08-07,Diamondbacks,• Blake Swihart,activated from 60-day IL
2020-10-28,Marlins,• Logan Forsythe,activated from 60-day IL
2022-11-06,Braves,• Adam Duvall,activated from 60-day IL
2021-05-31,Brewers,• Tim Lopes,activated from 60-day IL
2021-11-05,Angels,• Jo Adell,activated from 60-day IL
2022-06-26,Rangers,• Steven Duggar,activated from 60-day IL
