date,team,name,notes
2016-10-07,Athletics,• Sam Fuld,activated from 60-day DL
2016-11-03,Red Sox,• Pablo Sandoval,activated from 60-day DL
2016-10-27,Reds,• Devin Mesoraco,activated from 60-day DL
2016-10-10,Yankees,• Greg Bird,activated from 60-day DL
2016-07-18,Yankees,• Mason Williams,activated from 60-day DL
2016-11-04,Yankees,• Dustin Ackley,activated from 60-day DL
2016-11-07,Indians,• Michael Brantley,activated from 60-day DL
2016-09-30,Indians,• Yan Gomes,activated from 60-day DL
2016-11-04,Mets,• Justin Ruggiano,activated from 60-day DL
2016-11-01,Twins,• Danny Santana,activated from 60-day DL
2016-11-07,Rays,• Steven Souza Jr.,activated from 60-day DL
2017-07-17,Braves,• Sean Rodriguez,activated from 60-day DL
2017-09-01,Athletics,• Jake Smolinski,activated from 60-day DL
2017-08-04,Mariners,• Shawn O'Malley,activated from 60-day DL
2017-11-06,Rangers,• Hanser Alberto,activated from 60-day DL
2017-11-02,Red Sox,• Marco Hernandez,activated from 60-day DL
2017-11-01,Blue Jays,• Darrell Ceciliani,activated from 60-day DL
2017-08-17,Orioles,• Ryan Flaherty,activated from 60-day DL
2017-11-02,Dodgers,• O'Koyea Dickson,activated from 60-day DL
2018-11-01,Red Sox,• Marco Hernandez,activated from 60-day DL
2018-09-25,Mets,• David Wright,activated from 60-day DL
2018-10-31,Brewers,• Stephen Vogt,activated from 60-day DL
2018-11-02,Angels,• Zack Cozart,activated from 60-day DL
2018-11-02,Reds,• Jesse Winker,activated from 60-day DL
2018-10-30,Diamondbacks,• Jake Lamb,activated from 60-day DL
2018-11-02,Cubs,• Mark Zagunis,activated from 60-day DL
2018-11-02,Rockies,• Yonathan Daza,activated from 60-day DL
2019-07-03,Rangers,• Scott Heineman,activated from 60-day IL
2019-11-04,Yankees,• Miguel Andujar,activated from 60-day IL
2019-06-08,Pirates,• Corey Dickerson,activated from 60-day IL
2019-08-30,Indians,• Bradley Zimmer,activated from 60-day IL
2019-11-04,Angels,• Zack Cozart,activated from 60-day IL
2019-11-04,Rockies,• Brendan Rodgers,activated from 60-day IL
2019-11-04,Giants,• Steven Duggar,activated from 60-day IL
2019-11-04,Pirates,• Gregory Polanco,activated from 60-day IL
2019-11-04,Pirates,• Jason Martin,activated from 60-day IL
2019-10-31,Athletics,• Luis Barrera,activated from 60-day IL
2019-11-04,Twins,• Byron Buxton,activated from 60-day IL
2019-11-04,Diamondbacks,• David Peralta,activated from 60-day IL
2020-11-01,Giants,• Aramis Garcia,activated from 60-day IL
2020-11-03,Rockies,• David Dahl,activated from 60-day IL
2021-11-05,Brewers,• Mark Mathias,activated from 60-day IL
2021-11-07,Dodgers,• Edwin Rios,activated from 60-day IL
2021-10-22,Mariners,• Sam Haggerty,activated from 60-day IL
2021-08-14,Brewers,• Travis Shaw,activated from 60-day IL
2021-07-24,Marlins,• Brian Anderson,activated from 60-day IL
2021-11-05,Cardinals,• Max Moroff,activated from 60-day IL
2021-11-03,Cubs,• Jose Lobaton,activated from 60-day IL
2021-08-14,Giants,• Evan Longoria,activated from 60-day IL
2021-11-05,Marlins,• Jose Devers,activated from 60-day IL
2021-09-22,Marlins,• Brian Anderson,activated from 60-day IL
2021-11-08,Diamondbacks,• Seth Beer,activated from 60-day IL
2022-06-24,Cubs,• David Bote,activated from 60-day IL
2022-11-06,Dodgers,• Kevin Pillar,activated from 60-day IL
2022-11-09,Diamondbacks,• Nick Ahmed,activated from 60-day IL
2022-06-24,Astros,• Jake Meyers,activated from 60-day IL
2022-08-16,Padres,• Matt Beaty,activated from 60-day IL
2022-11-10,Mariners,• Tom Murphy,activated from 60-day IL
2022-11-10,Giants,• Colton Welker,activated from 60-day IL
2022-11-06,Rays,• Mike Zunino,activated from 60-day IL
2022-11-06,Astros,• Michael Brantley,activated from 60-day IL
2022-11-08,Reds,• Joey Votto,activated from 60-day IL
2022-11-10,Giants,• Donovan Walton,activated from 60-day IL
