start,end,team,name,notes
2016-04-11,2016-10-22,Cubs,• Kyle Schwarber,"transferred to 60-day DL with torn ligaments in left knee, sprained left ankle (out for season)"
2016-05-01,2016-06-09,Reds,• Kyle Skipworth,transferred to 60-day DL recovering from surgery on left ankle
2016-07-08,2016-11-03,Red Sox,• Blake Swihart,transferred to 60-day DL with sprained left ankle
2016-08-23,2016-09-06,Marlins,• Justin Bour,transferred to 60-day DL with sprained right ankle
2017-04-02,2017-06-05,Yankees,• Tyler Austin,placed on 60-day DL with fractured left ankle
2017-06-01,2017-08-22,Royals,• Paulo Orlando,placed on 60-day DL with fractured shin
2017-06-29,2017-08-26,Yankees,• Greg Bird,transferred to 60-day DL with bruised right ankle
2017-08-09,2017-11-02,Blue Jays,• Troy Tulowitzki,transferred to 60-day DL with sprained right ankle
2018-05-11,2018-06-09,Nationals,• Adam Eaton,transferred to 60-day DL with bone bruise in left ankle
2018-09-24,2018-11-02,Orioles,• Austin Hays,placed on 60-day DL recovering from surgery on right ankle (out for season)
2020-07-23,2020-10-31,Cubs,• Daniel Descalso,placed on 60-day IL with sprained left ankle
2021-04-27,2021-06-07,Mariners,• Shed Long Jr.,transferred to 60-day IL with stress fracture in right shin
2021-06-17,2021-07-29,Indians,• Jordan Luplow,transferred to 60-day IL with sprained left ankle
2021-07-07,2021-11-07,Indians,• Josh Naylor,transferred to 60-day IL with fractured/dislocated right ankle
2021-08-28,2021-10-22,Mariners,• Shed Long Jr.,transferred to 60-day IL with stress reaction in right shin
2022-06-16,2022-08-06,Mariners,• Mitch Haniger,transferred to 60-day IL with right high ankle sprain
2022-09-07,2022-11-10,Red Sox,• Franchy Cordero,transferred to 60-day IL with sprained right ankle
