start,end,team,name,notes
2016-04-05,2016-08-26,Diamondbacks,• AJ Pollock,transferred to 60-day DL with fractured right elbow
2016-06-11,2016-10-07,Athletics,• Mark Canha,transferred to 60-day DL with strained back (out for season)
2016-08-07,2016-11-07,Dodgers,• Trayce Thompson,transferred to 60-day DL with lower back injury
2016-08-10,2016-09-17,Mets,• Lucas Duda,transferred to 60-day DL with stress fracture in lower back
2016-08-26,2016-11-03,Diamondbacks,• David Peralta,transferred to 60-day DL with right wrist inflammation
2016-09-06,2016-11-03,Mets,• Neil Walker,placed on 60-day DL with herniated disk in lower back
2016-09-09,2016-11-03,Diamondbacks,• Nick Ahmed,transferred to 60-day DL with right hip impingement
2017-03-28,2017-06-10,Diamondbacks,• Socrates Brito,placed on 60-day DL with dislocated left ring finger
2017-04-07,2017-11-06,Padres,• Alex Dickerson,transferred to 60-day DL with protruding disc in back / tightness in lower back
2017-07-27,2017-11-03,Diamondbacks,• Yasmany Tomas,transferred to 60-day DL with right groin tendinitis
2017-07-29,2017-08-18,Dodgers,• Adrian Gonzalez,transferred to 60-day DL with sore lower back
2017-07-31,2017-11-03,Diamondbacks,• Chris Owings,placed on 60-day DL with fractured right middle finger
2017-07-31,2017-11-03,Diamondbacks,• Nick Ahmed,transferred to 60-day DL with fractured right hand
2017-09-13,2017-11-02,Phillies,• Daniel Nava,placed on 60-day DL with strained back
2018-04-27,2018-09-25,Mets,• David Wright,"transferred to 60-day DL with shoulder, lower back injury"
2018-06-25,2018-07-06,Orioles,• Luis Sardinas,transferred to 60-day DL with strained lower back
2018-07-31,2018-11-02,Royals,• Cheslor Cuthbert,transferred to 60-day DL with strained lower back (out for season)
2018-09-02,2018-10-31,Braves,• Michael Reed,placed on 60-day DL with strained left lower back
2018-09-03,2018-10-30,Diamondbacks,• Jake Lamb,transferred to 60-day DL with bruised left shoulder (out for season)
2018-09-04,2018-11-02,Diamondbacks,• Daniel Robertson,transferred to 60-day DL with sprained left thumb (out for season)
2018-09-06,2018-10-30,Diamondbacks,• Jarrod Dyson,transferred to 60-day DL with strained right groin (out for season)
2018-09-29,2018-10-30,Diamondbacks,• Christian Walker,placed on 60-day DL with facial fractures (out for season)
2019-06-27,2019-11-04,Diamondbacks,• Steven Souza Jr.,transferred to 60-day IL with surgery on left knee
2019-07-24,2019-08-24,Tigers,• Grayson Greiner,transferred to 60-day IL with strained lower back
2019-07-26,2019-10-28,Mariners,• Ryon Healy,transferred to 60-day IL with lower back inflammation / spinal stenosis
2019-07-30,2019-08-18,Cardinals,• Jedd Gyorko,transferred to 60-day IL with strained lower back
2019-07-31,2019-08-07,Diamondbacks,• Blake Swihart,transferred to 60-day IL with strained right oblique muscle
2019-08-11,2019-10-31,Red Sox,• Steve Pearce,transferred to 60-day IL with strained lower back
2019-08-28,2019-11-04,Padres,• Ian Kinsler,transferred to 60-day IL with herniated cervical disc in back
2019-09-02,2019-11-04,Dodgers,• Tyler White,transferred to 60-day IL with strained right trapezius muscle in back
2019-09-03,2019-11-04,Padres,• Fernando Tatis Jr.,transferred to 60-day IL with back spasms / stress reaction in lower back
2019-09-29,2019-11-04,Diamondbacks,• David Peralta,transferred to 60-day IL with surgery on right shoulder
2021-05-15,2021-07-10,Diamondbacks,• Kole Calhoun,transferred to 60-day IL with strained left hamstring
2021-05-15,2021-07-24,Twins,• Jake Cave,placed on 60-day IL with stress reaction in lower back
2021-06-29,2021-07-23,Cubs,• Matt Duffy,transferred to 60-day IL with strained lower back
2021-07-30,2021-09-11,Phillies,• Matt Joyce,transferred to 60-day IL with strained lower back
2021-09-21,2021-11-08,Diamondbacks,• Seth Beer,transferred to 60-day IL with dislocated left shoulder
2022-04-20,2022-06-23,Astros,• Taylor Jones,transferred to 60-day IL with discomfort in lower back
2022-06-08,2022-11-09,Diamondbacks,• Nick Ahmed,placed on 60-day IL with right shoulder inflammation
2022-07-05,2022-07-16,Rays,• Brandon Lowe,transferred to 60-day IL with stress reaction in lower back
2022-07-24,2022-11-10,Marlins,• Jazz Chisholm Jr.,transferred to 60-day IL with stress fracture in right lower back
2022-07-28,2022-08-29,Angels,• Matt Duffy,transferred to 60-day IL with lower back spasms
2022-09-15,2022-11-10,Marlins,• Jorge Soler,transferred to 60-day IL with lower back spasms
2022-09-28,2022-11-10,Rays,• Brandon Lowe,transferred to 60-day IL with discomfort in lower back
