start,end,team,name,notes
2016-04-05,2016-08-26,Diamondbacks,• AJ Pollock,transferred to 60-day DL with fractured right elbow
2016-04-10,2016-06-09,Rangers,• Robinson Chirinos,placed on 60-day DL with fractured right forearm
2016-05-19,2016-07-20,Pirates,• Elias Diaz,transferred to 60-day DL with discomfort in right elbow / strained right elbow / right elbow debridement (MLB)
2016-08-27,2016-09-06,Padres,• Jon Jay,transferred to 60-day DL with fractured right forearm
2016-09-18,2016-11-03,Orioles,• Steve Pearce,placed on 60-day DL with strained flexor mass in right elbow
2017-02-24,2017-06-01,Nationals,• Jose Marmolejos,placed on 60-day DL with strained left forearm
2017-05-15,2017-11-02,White Sox,• Geovany Soto,transferred to 60-day DL with right elbow inflammation
2018-04-13,2018-11-02,Mets,• Travis d'Arnaud,transferred to 60-day DL with torn UCL in right elbow (out for season)
2018-04-16,2018-11-01,Nationals,• Jhonatan Solano,transferred to 60-day DL with bone spurs in right elbow (out for season)
2018-05-02,2018-06-18,Rangers,• Elvis Andrus,transferred to 60-day DL with fractured right elbow
2018-05-12,2018-11-02,Dodgers,• Corey Seager,transferred to 60-day DL recovering from surgery on UCL in right elbow (out for season)
2018-06-21,2018-10-30,Padres,• Franchy Cordero,transferred to 60-day DL with strained right forearm (out for season)
2019-04-06,2019-06-07,Yankees,• Didi Gregorius,transferred to 60-day IL recovering from surgery on right elbow
2019-06-17,2019-11-04,Padres,• Franchy Cordero,transferred to 60-day IL with sprained right elbow
2019-06-27,2019-07-12,Dodgers,• AJ Pollock,transferred to 60-day IL with right elbow inflammation
2019-07-13,2019-11-04,Rays,• Christian Arroyo,transferred to 60-day IL with right forearm tendinitis
2019-09-03,2019-10-31,Giants,• Pablo Sandoval,placed on 60-day IL with surgery on right elbow
2019-09-08,2019-10-21,Nationals,• Spencer Kieboom,placed on 60-day IL with right elbow inflammation
2019-09-14,2019-11-01,Marlins,• JT Riddle,transferred to 60-day IL with strained right forearm
2019-09-28,2019-10-12,Yankees,• Aaron Hicks,transferred to 60-day IL with strained flexor in right elbow
2020-07-16,2020-09-12,Royals,• Kelvin Gutierrez,placed on 60-day IL with strained right elbow
2020-08-16,2020-10-28,Mets,• Rene Rivera,transferred to 60-day IL with hyperextended left elbow
2020-08-31,2020-10-29,Giants,• Joey Rickard,placed on 60-day IL with left elbow inflammation
2020-09-06,2020-11-01,Pirates,• Anthony Alford,placed on 10-day / 60-day IL with fractured right elbow
2020-09-28,2020-11-01,Pirates,• Anthony Alford,transferred to 60-day IL placed on 10-day / 60-day IL with fractured right elbow
2021-03-31,2021-10-21,Angels,• Franklin Barreto,placed on 60-day IL with strained right elbow
2021-05-09,2021-11-06,Padres,• Jorge Ona,transferred to 60-day IL with bone spurs in right elbow / right elbow inflammation
2021-06-16,2021-11-05,Cubs,• P.J. Higgins,transferred to 60-day IL with strained right forearm
2021-07-28,2021-11-05,Marlins,• Garrett Cooper,transferred to 60-day IL with sprained left elbow
2021-08-05,2021-09-15,Rangers,• Willie Calhoun,transferred to 60-day IL with fractured ulna in left forearm
2021-09-14,2021-11-07,Cubs,• Michael Hermosillo,transferred to 60-day IL with strained left forearm
2021-09-14,2021-11-05,Rangers,• Eli White,transferred to 60-day IL with strained right elbow / recovering from surgery on right elbow
2022-03-21,2022-11-10,Nationals,• Carter Kieboom,placed on 60-day IL with strained flexor mass in right forearm
2022-04-06,2022-11-10,Tigers,• Jake Rogers,placed on 60-day IL with sprained right elbow
2022-07-11,2022-11-10,Rangers,• Mitch Garver,placed on 60-day IL with surgery on right forearm flexor tendon
