start,end,team,name,notes
2016-04-22,2016-08-02,Giants,• Ehire Adrianza,transferred to 60-day DL with fractured left foot
2016-05-01,2016-06-09,Reds,• Kyle Skipworth,transferred to 60-day DL recovering from surgery on left ankle
2016-06-29,2016-08-10,Rangers,• Drew Stubbs,transferred to 60-day DL with sprained left little toe
2016-07-08,2016-11-03,Red Sox,• Blake Swihart,transferred to 60-day DL with sprained left ankle
2016-07-17,2016-11-03,White Sox,• Matt Davidson,transferred to 60-day DL with fractured right foot
2016-08-17,2016-10-07,Athletics,• Jed Lowrie,transferred to 60-day DL recovering from surgery to remove bunion on left foot (out for season)
2016-08-23,2016-09-06,Marlins,• Justin Bour,transferred to 60-day DL with sprained right ankle
2017-04-02,2017-06-05,Yankees,• Tyler Austin,placed on 60-day DL with fractured left ankle
2017-04-21,2017-11-02,White Sox,• Charlie Tilson,transferred to 60-day DL with stress reaction in right foot
2017-06-01,2017-08-22,Royals,• Paulo Orlando,placed on 60-day DL with fractured shin
2017-06-02,2017-08-15,Dodgers,• Rob Segedin,transferred to 60-day DL with strained right big toe
2017-06-06,2017-08-04,Padres,• Travis Jankowski,transferred to 60-day DL with bone bruise in right foot
2017-06-29,2017-08-26,Yankees,• Greg Bird,transferred to 60-day DL with bruised right ankle
2017-07-23,2017-08-28,Nationals,• Jayson Werth,transferred to 60-day DL with bruised left foot
2018-05-11,2018-06-09,Nationals,• Adam Eaton,transferred to 60-day DL with bone bruise in left ankle
2018-05-30,2018-11-02,Mets,• Juan Lagares,transferred to 60-day DL with surgery on left toe to repair torn plantar plate (out for season)
2018-07-10,2018-09-01,Phillies,• Pedro Florimon Jr.,transferred to 60-day DL with fractured right foot
2017-08-09,2017-11-02,Blue Jays,• Troy Tulowitzki,transferred to 60-day DL with sprained right ankle
2018-08-12,2018-11-02,Royals,• Jorge Soler,transferred to 60-day DL with fractured left toe (out for season)
2018-08-21,2018-11-01,Cardinals,• Dexter Fowler,transferred to 60-day DL with fractured left foot (out for season)
2019-04-23,2019-06-17,Angels,• Justin Upton,transferred to 60-day IL with turf toe on left foot
2019-05-12,2019-11-04,Yankees,• Greg Bird,transferred to 60-day IL with torn plantar fascia in left foot
2019-08-30,2019-09-29,Rays,• Yandy Diaz,transferred to 60-day IL with bruised left foot
2019-09-07,2019-09-26,Mets,• Dominic Smith,transferred to 60-day IL with stress reaction in left foot
2019-09-12,2019-11-04,Royals,• Kelvin Gutierrez,placed on 60-day IL with fractured right toe
2019-09-17,2019-10-31,Phillies,• Corey Dickerson,placed on 60-day IL with fractured left foot
2018-09-24,2018-11-02,Orioles,• Austin Hays,placed on 60-day DL recovering from surgery on right ankle (out for season)
2020-07-23,2020-10-31,Cubs,• Daniel Descalso,placed on 60-day IL with sprained left ankle
2020-08-18,2020-09-05,Mariners,• Tom Murphy,transferred to 60-day IL with fractured metatarsal bone in left foot
2021-04-27,2021-06-07,Mariners,• Shed Long Jr.,transferred to 60-day IL with stress fracture in right shin
2021-06-17,2021-07-29,Indians,• Jordan Luplow,transferred to 60-day IL with sprained left ankle
2021-07-07,2021-11-07,Indians,• Josh Naylor,transferred to 60-day IL with fractured/dislocated right ankle
2021-08-28,2021-10-22,Mariners,• Shed Long Jr.,transferred to 60-day IL with stress reaction in right shin
2022-06-14,2022-09-16,Braves,• Ozzie Albies,placed on 60-day IL with fractured left foot
2022-06-16,2022-08-06,Mariners,• Mitch Haniger,transferred to 60-day IL with right high ankle sprain
2022-08-25,2022-09-20,Yankees,• Harrison Bader,transferred to 60-day IL with plantar fasciitis in right foot
2022-09-07,2022-11-10,Red Sox,• Franchy Cordero,transferred to 60-day IL with sprained right ankle
2022-09-21,2022-11-10,Rangers,• Nick Solak,placed on 60-day IL with fractured right foot
2022-09-23,2022-11-08,Reds,• Nick Senzel,transferred to 60-day IL with sesamoid fracture in left foot
2022-10-02,2022-10-11,Yankees,• Matt Carpenter,transferred to 60-day IL with fractured left foot
