start,end,team,name,notes
2016-04-10,2016-06-09,Rangers,• Robinson Chirinos,placed on 60-day DL with fractured right forearm
2016-08-27,2016-09-06,Padres,• Jon Jay,transferred to 60-day DL with fractured right forearm
2017-02-24,2017-06-01,Nationals,• Jose Marmolejos,placed on 60-day DL with strained left forearm
2018-06-21,2018-10-30,Padres,• Franchy Cordero,transferred to 60-day DL with strained right forearm (out for season)
2019-07-13,2019-11-04,Rays,• Christian Arroyo,transferred to 60-day IL with right forearm tendinitis
2019-09-14,2019-11-01,Marlins,• JT Riddle,transferred to 60-day IL with strained right forearm
2021-06-16,2021-11-05,Cubs,• P.J. Higgins,transferred to 60-day IL with strained right forearm
2021-08-05,2021-09-15,Rangers,• Willie Calhoun,transferred to 60-day IL with fractured ulna in left forearm
2021-09-14,2021-11-07,Cubs,• Michael Hermosillo,transferred to 60-day IL with strained left forearm
2022-03-21,2022-11-10,Nationals,• Carter Kieboom,placed on 60-day IL with strained flexor mass in right forearm
2022-07-11,2022-11-10,Rangers,• Mitch Garver,placed on 60-day IL with surgery on right forearm flexor tendon
