start,end,team,name,notes
2017-04-02,2017-06-01,Royals,• Hunter Dozier,placed on 60-day DL with strained left oblique
2017-08-26,2017-11-02,Royals,• Bubba Starling,placed on 60-day DL with strained right oblique
2017-08-28,2017-09-30,Nationals,• Stephen Drew,transferred to 60-day DL with strained abdominal muscle
2018-05-02,2018-11-01,Yankees,• Jacoby Ellsbury,transferred to 60-day DL with strained right oblique muscle (out for season)
2018-06-30,2018-07-20,Nationals,• Ryan Zimmerman,transferred to 60-day DL with strained right oblique
2018-09-04,2018-10-31,Marlins,• Martin Prado,placed on 60-day DL with strained right abdominal muscle (out for season)
2018-09-14,2018-10-29,Tigers,• Jose Iglesias,transferred to 60-day DL with strained lower abdominal muscle (out for season)
2019-07-31,2019-08-07,Diamondbacks,• Blake Swihart,transferred to 60-day IL with strained right oblique muscle
2020-08-28,2020-10-28,Marlins,• Logan Forsythe,placed on 60-day IL with strained right oblique muscle
2020-10-13,2022-11-06,Braves,• Adam Duvall,placed on 10-day / 60-day IL with strained left oblique
2021-03-08,2021-05-31,Brewers,• Tim Lopes,placed on 60-day IL with strained right oblique
2021-10-01,2021-11-05,Angels,• Jo Adell,transferred to 60-day IL with strained left abdominal
2022-04-22,2022-06-26,Giants,• Steven Duggar,placed on 60-day IL with strained left oblique
