start,end,team,name,notes
2016-04-29,2016-10-07,Athletics,• Sam Fuld,transferred to 60-day DL with strained left shoulder (out for season)
2016-05-06,2016-11-03,Red Sox,• Pablo Sandoval,transferred to 60-day DL recovering from surgery on left shoulder
2016-05-07,2016-10-27,Reds,• Devin Mesoraco,transferred to 60-day DL with torn labrum in left shoulder
2016-05-14,2016-10-10,Yankees,• Greg Bird,transferred to 60-day DL recovering from surgery to repair torn labrum in right shoulder (out for season)
2016-05-14,2016-07-18,Yankees,• Mason Williams,transferred to 60-day DL recovering from surgery on right shoulder
2016-06-04,2016-11-04,Yankees,• Dustin Ackley,transferred to 60-day DL with dislocated right shoulder
2016-07-03,2016-11-07,Indians,• Michael Brantley,transferred to 60-day DL with right shoulder fatigue/inflammation
2016-08-31,2016-09-30,Indians,• Yan Gomes,transferred to 60-day DL with separated right shoulder
2016-08-31,2016-11-04,Mets,• Justin Ruggiano,transferred to 60-day DL with left shoulder injury
2016-09-06,2016-11-01,Twins,• Danny Santana,transferred to 60-day DL with sprained AC joint in left shoulder
2016-09-21,2016-11-07,Rays,• Steven Souza Jr.,placed on 60-day DL recovering from surgery on left hip to repair impingement and torn labrum
2017-02-25,2017-07-17,Braves,• Sean Rodriguez,placed on 60-day DL recovering from surgery on left shoulder
2017-04-15,2017-09-01,Athletics,• Jake Smolinski,transferred to 60-day DL recovering from surgery on right shoulder
2017-05-02,2017-08-04,Mariners,• Shawn O'Malley,transferred to 60-day DL recovering from appendectomy / tendinitis in right shoulder
2017-05-16,2017-11-06,Rangers,• Hanser Alberto,transferred to 60-day DL with tightness in right shoulder
2017-05-28,2017-11-02,Red Sox,• Marco Hernandez,transferred to 60-day DL with surgery on left shoulder
2017-07-03,2017-11-01,Blue Jays,• Darrell Ceciliani,transferred to 60-day DL with left shoulder subluxation
2017-07-05,2017-08-17,Orioles,• Ryan Flaherty,transferred to 60-day DL with right shoulder tendinitis / strained right shoulder
2017-09-29,2017-11-02,Dodgers,• O'Koyea Dickson,placed on 60-day DL with left shoulder subluxation
2018-03-29,2018-11-01,Red Sox,• Marco Hernandez,placed on 60-day DL recovering from surgery on left shoulder (out for season)
2018-04-27,2018-09-25,Mets,• David Wright,"transferred to 60-day DL with shoulder, lower back injury"
2018-05-08,2018-10-31,Brewers,• Stephen Vogt,transferred to 60-day DL with strained right shoulder (out for season)
2018-06-28,2018-11-02,Angels,• Zack Cozart,transferred to 60-day DL with left shoulder subluxation (out for season)
2018-07-31,2018-11-02,Reds,• Jesse Winker,transferred to 60-day DL with right shoulder subluxation (out for season)
2018-09-03,2018-10-30,Diamondbacks,• Jake Lamb,transferred to 60-day DL with bruised left shoulder (out for season)
2018-09-04,2018-11-02,Cubs,• Mark Zagunis,placed on 60-day DL with right shoulder inflammation (out for season)
2018-09-04,2018-11-02,Rockies,• Yonathan Daza,placed on 60-day DL with strained left shoulder (out for season)
2019-03-03,2019-07-03,Rangers,• Scott Heineman,placed on 60-day IL recovering from surgery on left shoulder
2019-05-21,2019-11-04,Yankees,• Miguel Andujar,transferred to 60-day IL recovering from surgery on right shoulder to repair torn labrum
2019-05-27,2019-06-08,Pirates,• Corey Dickerson,transferred to 60-day IL with strained right shoulder
2019-06-15,2019-08-30,Indians,• Bradley Zimmer,transferred to 60-day IL with recovering from surgery on right shoulder
2019-07-12,2019-11-04,Angels,• Zack Cozart,transferred to 60-day IL with surgery on left shoulder
2019-07-17,2019-11-04,Rockies,• Brendan Rodgers,transferred to 60-day IL with surgery on right shoulder
2019-08-09,2019-11-04,Giants,• Steven Duggar,transferred to 60-day IL with sprained AC joint in left shoulder
2019-08-31,2019-11-04,Pirates,• Gregory Polanco,transferred to 60-day IL with left shoulder inflammation
2019-09-08,2019-11-04,Pirates,• Jason Martin,placed on 60-day IL with dislocated left shoulder
2019-09-09,2019-10-31,Athletics,• Luis Barrera,placed on 60-day IL recovering from surgery on right shoulder
2019-09-10,2019-11-04,Twins,• Byron Buxton,placed on 60-day IL with left shoulder subluxation
2019-09-29,2019-11-04,Diamondbacks,• David Peralta,transferred to 60-day IL with surgery on right shoulder
2020-03-10,2020-11-01,Giants,• Aramis Garcia,placed on 60-day IL with labrum injury in right hip
2020-09-23,2020-11-03,Rockies,• David Dahl,placed on 60-day IL with strained right shoulder
2021-03-16,2021-11-05,Brewers,• Mark Mathias,placed on 60-day IL with surgery on right shoulder to repair torn labrum
2021-05-15,2021-11-07,Dodgers,• Edwin Rios,transferred to 60-day IL with right shoulder inflammation
2021-06-07,2021-10-22,Mariners,• Sam Haggerty,transferred to 60-day IL with right shoulder inflammation
2021-06-12,2021-08-14,Brewers,• Travis Shaw,transferred to 60-day IL with dislocated left shoulder
