key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
8002f150,8002f150-abd6-437c-9f92-e6658ad5aac1,458669,pricb001,pricebr10,price-002bry,8436,,,,,Q17811880,Price,Bryan,Bryan Cole,,,,1986,11,13,,,,2008,2015,2014,2014,,,,,,,,,,,,
802c3a6f,802c3a6f-9222-4f2f-b415-4ceeb579cfe2,592614,overd001,overtdi01,overto001dil,15627,,,,,Q24809691,Overton,Dillon,Dillon Ray,,,,1991,8,17,,,,2014,2022,2016,2017,2011,2013,,,,,,,,,,
802ecc1a,802ecc1a-4dfb-4e22-ae35-b37fda3d4519,572191,taylm002,taylomi02,taylor011mic,11489,,,,,Q17161464,Taylor,Michael,Michael Anthony,,,,1991,3,26,,,,2010,2024,2014,2024,,,,,,,,,,,,
80404b28,80404b28-9b61-422a-83e4-bebc30ea7d8d,593525,calio001,calixor01,caxito001orl,11905,93795157,,,,Q18701084,Calixte,Orlando,Orlando,,Calixte,,1992,2,3,,,,2010,2024,2015,2017,,,,,,,,,,,,
8044d8a1,8044d8a1-572c-4839-9af7-13e5cdfe6480,656257,brigj002,brighje01,brigha000jef,16631,,,,,Q56433767,Brigham,Jeff,Jeff John,,,,1992,2,16,,,,2014,2024,2018,2023,2011,2014,,,,,,,,,,
80615d07,80615d07-8442-414d-bb51-aefef24adf40,542609,burge002,burgoen02,burgos002enr,3895,,,,,Q19844534,Burgos,Enrique,Enrique,,Arosemena,,1990,11,23,,,,2008,2024,2015,2016,,,,,,,,,,,,
807bcbd5,807bcbd5-7fb7-4a75-865b-b2f154128c1b,607481,bumma001,bummeaa01,bummer000aar,16258,,,,,Q33524089,Bummer,Aaron,Aaron James,,,,1993,9,21,,,,2014,2024,2017,2024,2012,2014,,,,,,,,,,
8080aa83,8080aa83-65fb-4cd9-b971-8677892fdbee,547004,ruizr002,ruizri01,ruiz--001rio,14103,,,,,Q17403410,Ruiz,Rio,Rio Noble,,,,1994,5,22,,,,2012,2024,2016,2021,,,,,,,,,,,,
808d3c82,808d3c82-0833-407b-a4c7-e3b01dbe3601,516949,sanch002,sanchhe01,sanche001hec,10289,,,,,Q3129284,Sánchez,Héctor,Héctor Enrique,,,,1989,11,17,,,,2007,2024,2011,2017,,,,,,,,,,,,
80a7fa21,80a7fa21-bba8-4b0a-b185-8e336ab9f3c6,667755,sorij002,soriajo02,sorian003jos,22100,,,,,,Soriano,José,José Joaquin,,Santana,,1998,10,20,,,,2016,2024,2023,2024,,,,,,,,,,,,
80aea907,80aea907-97ec-4a08-a6b3-748310a152e2,622761,matej003,mateojo01,mateo-000jor,17273,,,,,Q23901570,Mateo,Jorge,Jorge Luis,,,,1995,6,23,,,,2012,2024,2020,2024,,,,,,,,,,,,
80bb364b,80bb364b-9d47-4bc5-8560-15b6fef2b61a,488810,cruzt002,cruzto03,cruz--001arn,2802,,,,,Q2355671,Cruz,Tony,Arnoldi Anthony,,,,1986,8,18,,,,2007,2018,2011,2018,,,,,,,,,,,,
80d9ab7c,80d9ab7c-f130-4de4-b55a-796b8239c46c,501955,chamj002,chambjo03,chambe001job,2692,,,,,Q1189644,Chamberlain,Joba,Justin Louis,,,,1985,9,23,,,,2006,2016,2007,2016,2004,2006,,,,,,,,,,
80de5342,80de5342-0dd0-417c-9923-a37aacec8278,553902,astuw001,astudwi01,astudi001wil,15608,63565157,,,,Q55314883,Astudillo,Willians,Willians Jose,,,,1991,10,14,,,,2009,2024,2018,2022,,,,,,,,,,,,
80e000fe,80e000fe-eeae-4358-8641-8d9ec040e1ed,502023,tartt001,tartatr01,tartam001tra,6748,,,,,Q21011392,Tartamella,Travis,Travis Scott,,,,1987,12,17,,,,2009,2015,2015,2015,,,,,,,,,,,,
80fd4897,80fd4897-9d7c-4069-9e22-b811667eb86d,543216,gillc001,gillaco01,gillas001con,9009,,,,,Q2993550,Gillaspie,Conor,Conor Michael,,,,1987,7,18,,,,2008,2017,2008,2017,2006,2008,,,,,,,,,,
812c9b21,812c9b21-cb72-423f-b63a-b31d52bfbd1e,691176,domij003,dominja01,doming002jas,28080,,,,,,Domínguez,Jasson,Jasson,,Gonzalez,,2003,2,7,,,,2021,2024,2023,2024,,,,,,,,,,,,
81348e23,81348e23-75bf-49bc-8e47-e4c648a216dd,571787,holmd002,holmbda01,holmbe001dav,7725,,,,,Q15875146,Holmberg,David,David Andrew,,,,1991,7,19,,,,2009,2023,2013,2017,,,,,,,,,,,,
813d7d3c,813d7d3c-d421-4d6b-a0fc-9dc7d9f16007,499864,jimel002,jimenlu02,jimene006lui,6341,43545138,,,,Q11689842,Jiménez,Luis,Luis Domingo,,Rodriguez,Lucho,1988,1,18,,,,2006,2024,2013,2015,,,,,,,,,,,,
815b81ae,815b81ae-810d-434d-bc56-af3dd2da2ed6,572947,irwip001,irwinph01,irwin-001phi,9489,,,,,Q12151758,Irwin,Phil,Phillip Andrew,,,,1987,2,25,,,,2009,2015,2013,2014,2007,2009,,,,,,,,,,
817140c4,817140c4-8a21-48b1-b033-bd548e3b16df,503569,dolir001,dolisra01,dolis-001raf,4185,03505132,,,,Q653484,Dolis,Rafael,Rafael Jose,,,,1988,1,10,,,,2006,2024,2011,2021,,,,,,,,,,,,
8177caac,8177caac-5714-4035-a39d-fd8a640d5d38,545358,stasm001,stassma01,stassi001max,10059,,,,,Q15303353,Stassi,Max,Max Robert,,,,1991,3,15,,,,2009,2024,2013,2022,,,,,,,,,,,,
81797929,81797929-3890-40e9-9f73-13ecdba175da,501213,sierm001,sierrmo01,sierra001moi,6050,33535151,,,,Q3079143,Sierra,Moisés,Moisés,,,,1988,9,24,,,,2006,2023,2012,2018,,,,,,,,,,,,
818131ee,818131ee-fdda-43a0-98aa-81592a05d293,596117,stubg001,stubbga01,stubbs000gar,18067,,,,,Q21063352,Stubbs,Garrett,Garrett Patrick,,,,1993,5,26,,,,2015,2024,2019,2024,2012,2015,,,,,,,,,,
8188888f,8188888f-ba72-419b-b822-5863c327614d,665926,gimea001,gimenan01,gimene000and,19950,,,,,Q76280965,Giménez,Andrés,Andrés Alfonso,,Osorio,,1998,9,4,,,,2016,2024,2020,2024,,,,,,,,,,,,
