key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
b01123a3,b01123a3-48d9-46a5-aa33-1ba6bd86314f,592872,wimma001,wimmeal01,wimmer001ale,11394,,,,,Q26705649,Wimmers,Alex,Alex Michael,,,,1988,11,1,,,,2010,2018,2016,2017,2008,2010,,,,,,,,,,
b028cac1,b028cac1-94bd-4209-8efa-e02675bee085,451088,sellj002,selleju01,seller002jus,4006,,,,,Q742857,Sellers,Justin,Justin Ryan,,,,1986,2,1,,,,2005,2015,2011,2014,,,,,,,,,,,,
b048f44f,b048f44f-87ec-4a6a-849f-9e34f8d761a5,458708,tomlj001,tomlijo01,tomlin001jos,9388,,,,,Q3186006,Tomlin,Josh,Joshua Aubrey,,,Little Cowboy,1984,10,19,,,,2006,2021,2010,2021,2006,2006,,,,,,,,,,
b09b2edb,b09b2edb-28a6-4792-996a-00968a6132af,425784,river003,riverre01,rivera002ren,3648,,,,,Q3426829,Rivera,René,René,,,,1983,7,31,,,,2001,2021,2004,2021,,,,,,,,,,,,
b0a51a64,b0a51a64-6fb9-4cd5-ad9c-5cc401abeb54,430630,frasj002,frasoja01,frasor001jas,1906,,,,,Q3162935,Frasor,Jason,Jason Andrew,,,,1977,8,9,,,,1999,2015,2004,2015,1996,1999,,,,,,,,,,
b0b08dc9,b0b08dc9-8fff-4d46-98da-c5d2a1b0dbd8,592866,willt002,willitr01,willia002tre,16977,,,,,Q26837136,Williams,Trevor,Trevor Anthony,,,,1992,4,25,,,,2013,2024,2016,2024,2011,2013,,,,,,,,,,
b0c36be7,b0c36be7-3495-4740-96b4-d2972699d100,605335,leibb001,leibrbr01,leibra000bra,16135,,,,,Q98522613,Leibrandt,Brandon,Brandon Charles,,,,1992,12,13,,,,2014,2024,2020,2024,2012,2014,,,,,,,,,,
b0c6959f,b0c6959f-5ba9-48f1-ae37-92e03372e60e,491640,rivec002,riverca02,rivero001car,1136,03005134,,,,Q17514612,Rivero,Carlos,Carlos Luis,,Milan,,1988,5,20,,,,2006,2024,2014,2014,,,,,,,,,,,,
b0d10954,b0d10954-17a6-4d27-bab7-87ea787041b4,453184,lincb001,lincobr01,lincol001bra,4241,,,,,Q2923408,Lincoln,Brad,Brad Eric,,,,1985,5,25,,,,2006,2015,2010,2014,2004,2006,,,,,,,,,,
b0d629f8,b0d629f8-ded2-4f8a-8da7-181b5ab35443,600466,readr002,readra01,read--000rau,15766,,,,,Q38626746,Read,Raudy,Raudy Miguel,,Placencia,,1993,10,29,,,,2011,2024,2017,2019,,,,,,,,,,,,
