key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
e0053de1,e0053de1-e7b1-4550-9f56-b4aff311a589,661527,marts003,martise01,martin000set,21045,,,,,Q108631608,Martinez,Seth,Seth Antonio,,,,1994,8,29,,,,2016,2024,2021,2024,2014,2016,,,,,,,,,,
e02150a5,e02150a5-2535-4f3d-a722-e1735bab97fd,466948,machj002,machije01,machi-001jea,3220,,,,,Q2386391,Machi,Jean,Jean Manuel,,,,1982,2,1,,,,2002,2022,2012,2017,,,,,,,,,,,,
e0644735,e0644735-6487-4e54-a3a1-a92ad515bec3,642162,valap001,valaipa01,valaik000pat,14885,,,,,Q26837198,Valaika,Pat,Patrick Ryne,,,,1992,9,9,,,,2013,2023,2016,2021,2011,2013,,,,,,,,,,
e08a2c12,e08a2c12-7d95-4360-8d3c-0764bbeb2df7,605501,tarps001,tarplst01,tarple000ste,15859,,,,,Q56433748,Tarpley,Stephen,Stephen Nicholas,,,,1993,2,17,,,,2013,2024,2018,2021,2012,2012,,,,,,,,,,
e0a073e4,e0a073e4-d5a8-4760-b840-89f8f10f2953,543726,rossr002,rossro01,ross--008rob,6819,,,,,Q3077396,Ross,Robbie,Robert Charles,,,,1989,6,24,,,,2009,2023,2012,2017,,,,,,,,,,,,
e0a911a8,e0a911a8-4fd4-47c5-b15d-40b6f8b61472,452239,maxwj002,maxweju01,maxwel001jus,6827,,,,,Q3190474,Maxwell,Justin,Justin Adam,,,,1983,11,6,,,,2006,2016,2007,2015,2002,2005,,,,,,,,,,
e0b8029e,e0b8029e-135c-422a-ad04-9a315c10cb65,672773,lucie001,luciael01,lucian000elv,20632,03005157,,,,Q62571004,Luciano,Elvis,Elvis Enmanuel,,Pimentel,,2000,2,15,,,,2017,2024,2019,2019,,,,,,,,,,,,
e0b8305e,e0b8305e-aa94-4d6e-a4b1-8a9cebdd8303,449097,papej001,papeljo01,papelb001jon,5975,,,,,Q1133717,Papelbon,Jonathan,Jonathan Robert,,,,1980,11,23,,,,2003,2016,2005,2016,2001,2003,,,,,,,,,,
e0c5d173,e0c5d173-2157-45b5-8abc-3d7b4ca2a7f4,663776,sandp002,sandopa02,sandov000pat,19447,,,,,Q66309773,Sandoval,Patrick,Patrick Jordan,,,,1996,10,18,,,,2015,2024,2019,2024,,,,,,,,,,,,
e0d1661f,e0d1661f-4537-42f5-93f8-602a648e8927,641571,fillh001,fillmhe01,fillmy000hea,17466,,,,,Q50824655,Fillmyer,Heath,Heath Devon,,,,1994,5,16,,,,2014,2022,2018,2019,,,,,,,,,,,,
e0e99e19,e0e99e19-a132-4ea5-a1cc-a67855a67148,621058,moora002,moorean02,moore-006and,17553,,,,,Q30597809,Moore,Andrew,Andrew George,,,,1994,6,2,,,,2015,2022,2017,2019,2013,2015,,,,,,,,,,
e1075892,e1075892-ac13-469f-8529-9fbd1f16fc98,669257,smitw003,smithwi05,smith-075wil,19197,,,,,Q24678701,Smith,Will,William Dills,,,,1995,3,28,,,,2016,2024,2019,2024,2014,2016,,,,,,,,,,
e109d804,e109d804-cc3c-4fcf-af12-b6265ae4d4fd,493157,uehak001,ueharko01,uehara001koj,9227,,,,,Q1194501,Uehara,Koji,Koji,,,,1975,4,3,,,,1999,2019,2009,2017,,,,,,,,,,,,
e10be9ea,e10be9ea-f8b1-4576-8f06-db32d7b2f9ee,605488,sprij001,sprinje01,spring000jef,17677,,,,,Q55956057,Springs,Jeffrey,Jeffrey Scott,,,,1992,9,20,,,,2015,2024,2018,2024,2012,2015,,,,,,,,,,
e1213964,e1213964-fbcd-4552-a924-3581ffe81866,605441,riosy001,riosya01,rios--000yac,15007,,,,,Q37760796,Ríos,Yacksel,Yacksel,,Melendez,,1993,6,27,,,,2011,2024,2017,2023,,,,,,,,,,,,
