key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
f04737d6,f04737d6-5d83-4ded-a12a-cf3ff2fc9526,542340,villj001,villajo01,villan001jon,10071,,,,,Q14375934,Villar,Jonathan,Jonathan Rafael,,Roque,,1991,5,2,,,,2008,2024,2013,2022,,,,,,,,,,,,
f0540df0,f0540df0-25b3-4c4d-8389-3e8a93bb8690,682829,delae003,delacel01,delacr000ell,26668,,,,,Q111112050,De La Cruz,Elly,Elly Antonio,,Sanchez,,2002,1,11,,,,2019,2024,2023,2024,,,,,,,,,,,,
f05e6679,f05e6679-d201-4092-a4f5-2493a7d05a96,502085,robed002,roberda08,robert009dav,8241,,,,,Q1176351,Robertson,David,David Alan,,,,1985,4,9,,,,2007,2024,2008,2024,2005,2006,,,,,,,,,,
f07e8d63,f07e8d63-450e-4083-953b-75a4be288649,656185,alleg002,allengr01,allen-002gre,16623,,,,,Q38441614,Allen,Greg,Gregory Lomack,,,,1993,3,15,,,,2014,2024,2017,2023,2012,2014,,,,,,,,,,
f095dba3,f095dba3-5d42-4939-93c4-ac81f9fd681c,670712,brosm001,brossmi01,brosse000mik,19683,13415157,,,,Q64781790,Brosseau,Mike,Michael Dillon,,,,1994,3,15,,,,2016,2024,2019,2023,2013,2016,,,,,,,,,,
f0e5db8e,f0e5db8e-1984-4be5-a366-70520c056abf,468406,herrj002,herrejo03,herrer001jon,4182,,,,,Q3183386,Herrera,Jonathan,Jonathan Alejandro,,,,1984,11,3,,,,2003,2017,2008,2015,,,,,,,,,,,,
f0e8ad14,f0e8ad14-7f0f-4429-b045-5c716853adfe,676950,mackd001,mackida01,mackin000dav,19625,53055157,,,,,MacKinnon,David,David C.,,,,1994,12,15,,,,2017,2024,2022,2022,2014,2017,,,,,,,,,,
f0e8fd62,f0e8fd62-774b-401d-b8d3-17a69b517cff,514888,altuj001,altuvjo01,altuve001jos,5417,,,,,Q3186148,Altuve,José,José Carlos,,,Gigante,1990,5,6,,,,2007,2024,2011,2024,,,,,,,,,,,,
f0f360a6,f0f360a6-b07d-45e1-8348-e231ae388680,642528,loaij001,loaisjo01,loaisi002jon,19753,,,,,Q50810798,Loáisiga,Jonathan,Jonathan Stanley,,Estrada,,1994,11,2,,,,2013,2024,2018,2024,,,,,,,,,,,,
f0f73a87,f0f73a87-b27b-4748-bbf6-e505348e412b,475247,flahr001,flahery01,flaher001rya,7888,,,,,Q3453775,Flaherty,Ryan,Ryan Edward,,,,1986,7,27,,,,2008,2019,2012,2019,2006,2008,,,,,,,,,,
f10a73c3,f10a73c3-d560-4c7d-b9d4-830c945de865,663562,davin001,davisno01,davis-000noa,25862,,,,,,Davis,Noah,Noah D.,,,,1997,4,22,,,,2019,2024,2022,2024,2016,2018,,,,,,,,,,
f10c4e72,f10c4e72-db4c-4fc0-8552-e824f7775560,150359,burna001,burnea.01,burnet001all,512,,,,,Q278745,Burnett,A. J.,Allan James,,,,1977,1,3,,,,1995,2015,1999,2015,,,,,,,,,,,,
f125588e,f125588e-16f2-40a7-b420-11b0cef065c5,458681,lynnl001,lynnla01,lynn--001lan,2520,,,,,Q2356050,Lynn,Lance,Michael Lance,,,,1987,5,12,,,,2008,2024,2011,2024,2006,2008,,,,,,,,,,
f1427fc8,f1427fc8-0902-4fab-b693-36d162270e9c,514669,martr005,martira04,martin003raf,10258,,,,,Q19810369,Martín,Rafael,Rafael,,Romero,,1984,5,16,,,,2007,2020,2015,2016,,,,,,,,,,,,
f1435daa,f1435daa-5d51-4238-9ba9-5c32b361e17f,680118,bland001,blancda02,blanco000dai,19779,,,,,Q112116463,Blanco,Dairon,Dairon,,LaMadrid,,1993,4,26,,,,2012,2024,2022,2024,,,,,,,,,,,,
f143c214,f143c214-b7f5-4461-bc61-f11927f2bb4b,595956,gallc001,gallaca01,gallag000cam,12981,,,,,Q30094079,Gallagher,Cam,Cameron Joseph,,,,1992,12,6,,,,2011,2023,2017,2023,,,,,,,,,,,,
f14756d0,f14756d0-cb9e-4453-8fab-e2e04513d629,701643,hartg002,hartwgr01,hartwi000gra,29946,,,,,,Hartwig,Grant,Grant Alexander,,,,1997,12,18,,,,2021,2024,2023,2024,2017,2021,,,,,,,,,,
f1847c7c,f1847c7c-4514-4094-b70d-3404bda335e8,430681,johnd004,johnsda06,johnso006dan,2167,61865118,,,,Q3013125,Johnson,Dan,Daniel Ryan,,,,1979,8,10,,,,2001,2018,2005,2015,1998,2001,,,,,,,,,,
f1a7f234,f1a7f234-e6ca-4305-9b39-58e84592ff2a,542932,bertj001,bertijo01,berti-001jon,12037,,,,,Q18385669,Berti,Jon,Jonathon David,,,,1990,1,22,,,,2011,2024,2018,2024,2009,2011,,,,,,,,,,
f1a8f022,f1a8f022-b130-43dd-856b-67ac1bfccf1b,544759,schub001,schulbo02,schult001pat,5028,,,,,Q15978230,Schultz,Bo,Patrick Bowen,,,,1985,9,25,,,,2008,2018,2014,2016,2007,2008,,,,,,,,,,
f1a9abb6,f1a9abb6-ccb4-41d9-a29d-718f298c2d2b,676689,karcr001,karchri01,karche002ric,23449,,,,,,Karcher,Ricky,Richard Thomas,,,,1997,9,18,,,,2017,2024,2023,2023,2016,2016,,,,,,,,,,
f1cfe2e3,f1cfe2e3-fb79-4937-bdf4-5f9e58ccabd7,622065,youna002,youngal01,young-000ale,18333,,,,,Q64933236,Young,Alex,Alexander Edward,,,,1993,9,9,,,,2015,2024,2019,2024,2013,2015,,,,,,,,,,
f1ec57b4,f1ec57b4-a132-4e49-91ee-eb75175ebccc,429708,marta004,martean01,marte-001and,3203,,,,,Q154670,Marte,Andy,Andy Manuel,,,,1983,10,21,2017,1,22,2001,2016,2005,2014,,,,,,,,,,,,
f1fb8772,f1fb8772-b0ae-4f06-8f94-3c1c3086f8a2,459991,sancg001,sanchga01,sanche001gab,3361,33335130,,,,Q3094191,Sánchez,Gaby,Gabriel,,,,1983,9,2,,,,2005,2015,2008,2014,2003,2004,,,,,,,,,,
f1ffa9e8,f1ffa9e8-847d-426d-b750-fdb62ecd2e5e,554432,jenkc001,jenkich01,jenkin004cha,10326,,,,,Q2947441,Jenkins,Chad,Stephen Chadwick,,,,1987,12,22,,,,2010,2016,2012,2015,2007,2009,,,,,,,,,,
f20bf0d5,f20bf0d5-f44e-40c5-ae0e-034c96d79a95,668470,dannh001,danneha01,danner000hag,22116,,,,,,Danner,Hagen,Hagen Jarrell,,,,1998,9,30,,,,2017,2024,2023,2023,,,,,,,,,,,,
f20f40f2,f20f40f2-1d4a-4287-b000-cdc13a768006,547170,delmn001,delmoni01,delmon000nic,13157,,,,,Q34917807,Delmonico,Nick,Nicholas John,,,,1992,7,12,,,,2012,2021,2017,2020,,,,,,,,,,,,
