key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
000539fc,000539fc-40b1-4bc4-9764-2941d18f398c,605152,bradj002,bradlje01,bradle000jed,13166,,,,,Q18148613,Bradley,Jed,Jedidiah Custer,,,,1990,6,12,,,,2011,2019,2016,2016,2009,2011,,,,,,,,,,
002a6628,002a6628-f77b-4a70-afc9-bd0c34ee5b02,594987,sadlc002,sadleca02,sadler001cas,11209,,,,,Q16744763,Sadler,Casey,Casey Scott,,,,1990,7,13,,,,2010,2023,2014,2021,,,,,,,,,,,,
0036f772,0036f772-33c8-4431-916e-d1e86ebf8ba2,680911,millo002,milleow01,miller000owe,24655,,,,,Q106988275,Miller,Owen,Owen Robert,,,,1996,11,15,,,,2018,2024,2021,2024,2016,2018,,,,,,,,,,
003ca28d,003ca28d-cdc7-4729-91de-2ac966defd41,669242,edmat001,edmanto01,edman-000tom,19470,,,,,Q64747492,Edman,Tommy,Thomas Hyunsu,,,,1995,5,9,,,,2016,2024,2019,2024,2014,2016,,,,,,,,,,
005712ba,005712ba-3c82-49a1-b69f-556791d3aadc,660636,castd004,castidi02,castil001die,19906,,,,,Q111525916,Castillo,Diego,Diego Alejandro,,Rodriguez,,1997,10,28,,,,2015,2024,2022,2024,,,,,,,,,,,,
00a9889b,00a9889b-e1b6-4ae1-af2e-98b14259efb0,570666,cessl001,cessalu01,cessa-001lui,13345,,,,,Q16574400,Cessa,Luis,Luis Enrique,,,,1992,4,25,,,,2009,2024,2016,2023,,,,,,,,,,,,
00bce5bc,00bce5bc-7ad2-434f-a5fb-64cf885abe74,642239,zastr001,zastrro01,zastry000rob,15094,,,,,Q23091321,Zastryzny,Rob,Robert John,,,,1992,3,26,,,,2013,2024,2016,2024,2011,2013,,,,,,,,,,
00c76880,00c76880-f6f1-4198-acd6-31c0e9dc13ef,676914,schnd001,schneda03,schnei000dav,23565,,,,,,Schneider,Davis,Davis,,,,1999,1,26,,,,2017,2024,2023,2024,,,,,,,,,,,,
00db94fb,00db94fb-d63f-4135-a2c2-708e0728fa39,434670,ramih003,ramirha01,ramire001han,8001,,,,,Q1111592,Ramírez,Hanley,Hanley,,,,1983,12,23,,,,2002,2021,2005,2019,,,,,,,,,,,,
00ed0a17,00ed0a17-83dc-467f-92f1-8e8a2a04042b,642094,smitt002,smithty01,smith-001tyl,12490,,,,,Q30123187,Smith,Tyler,Tyler Douglas,,,,1991,7,1,,,,2013,2018,2017,2017,2010,2013,,,,,,,,,,
