Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Total,ARI,206,852,772,208,114,53,9,32,128,107,63,3,154,11,5,1,15,34,8,0.269430051
Total,ARI,206,852,772,208,114,53,9,32,128,107,63,3,154,11,5,1,15,34,8,0.269430051
Total,TEX,180,655,560,129,65,30,1,33,84,78,68,0,197,21,4,2,11,2,1,0.230357142
Total,PIT,119,382,356,90,60,22,0,8,44,44,22,0,62,1,3,0,12,1,0,0.252808988
Total,4 Tms,288,1050,934,265,212,38,10,5,150,74,70,3,180,32,5,9,23,10,5,0.28372591
Total,2 Tms,167,599,528,140,83,31,2,24,73,79,56,1,109,10,5,0,13,0,0,0.265151515


Total,4 Tms,146,575,516,141,92,24,0,25,71,103,48,0,135,4,7,0,12,1,1,0.273255813

Total,TEX,230,1015,943,249,182,44,7,16,127,100,54,1,160,6,12,0,22,36,10,0.264050901
Total,LAD,184,773,701,198,106,56,2,34,120,128,61,3,135,5,6,0,16,2,0,0.282453637
Total,2 Tms,25,62,53,13,7,4,0,2,9,8,8,0,11,0,1,0,1,2,0,0.245283018
Total,2 Tms,173,709,657,165,103,28,4,30,91,123,37,5,107,7,7,1,12,6,3,0.251141552
Total,2 Tms,63,178,165,32,20,9,0,3,19,16,12,0,55,0,0,1,2,2,1,0.193939393
Total,LAD,176,654,600,167,92,34,0,41,92,100,42,4,145,8,4,0,12,9,2,0.278333333
Total,BOS,70,235,214,55,33,13,0,9,29,33,12,0,55,7,0,1,3,1,0,0.257009345
Total,2 Tms,101,180,157,31,25,1,0,5,16,17,19,0,44,3,1,0,5,0,0,0.197452229

Total,2 Tms,26,75,73,12,9,2,0,1,9,1,2,0,13,0,0,0,0,1,0,0.164383561
Total,NYY,86,337,277,59,34,13,2,10,41,35,55,1,68,3,2,0,7,4,1,0.212996389
Total,2 Tms,97,340,309,68,53,9,3,3,25,23,26,0,90,4,0,0,5,1,1,0.220064724
Total,2 Tms,24,78,69,16,11,3,0,2,8,9,4,0,29,2,0,3,4,0,0,0.231884057

Total,PIT,51,152,137,32,20,6,1,5,14,11,12,1,60,3,0,0,4,5,6,0.233576642
Total,PIT,51,152,137,32,20,6,1,5,14,11,12,1,60,3,0,0,4,5,6,0.233576642


Total,CHC,70,229,201,46,28,11,1,6,23,30,22,0,58,2,1,3,2,0,0,0.228855721
Total,2 Tms,240,926,836,214,134,51,3,26,79,111,71,0,251,12,7,0,21,0,0,0.255980861
Total,3 Tms,82,269,241,52,32,12,1,7,26,25,25,1,35,1,2,0,7,0,0,0.215767634
Total,CHC,27,73,61,7,5,2,0,0,7,4,7,0,27,4,0,1,0,1,0,0.114754098
Total,2 Tms,48,134,119,22,17,2,0,3,17,10,13,0,48,1,1,0,0,12,1,0.184873949
Total,WSN,27,94,87,18,12,2,0,4,12,11,6,0,27,1,0,0,2,0,0,0.206896551
Total,DET,201,702,641,134,75,27,1,31,90,85,50,1,217,6,4,1,12,2,1,0.209048361
Total,2 Tms,200,774,663,143,81,28,0,34,82,101,97,1,215,10,3,0,15,0,0,0.215686274
