Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,wOBA
Total,2 Tms,168,477,423,107,73,24,3,7,57,48,35,3,96,4,7,8,4,12,2,0.252955082,0.3016523605150214
Total,2 Tms,168,477,423,107,73,24,3,7,57,48,35,3,96,4,7,8,4,12,2,0.252955082,0.3016523605150214
Total,3 Tms,27,57,49,7,6,0,0,1,3,2,7,0,22,1,0,0,0,2,1,0.142857142,0.22789473684210526
Total,BOS,83,214,197,45,32,10,0,3,29,18,17,0,60,0,0,0,4,6,1,0.228426395,0.2766822429906542
Total,OAK,310,1325,1163,316,189,86,4,37,164,168,151,3,228,5,6,0,18,0,1,0.271711092,0.35410741301058996
Total,2 Tms,253,981,842,216,138,31,2,45,103,144,129,18,222,2,8,0,22,2,0,0.256532066,0.35136033229491176
Total,3 Tms,121,394,355,83,44,14,1,24,54,68,32,0,145,2,5,0,5,1,2,0.233802816,0.336751269035533
Total,KCR,41,133,129,25,17,6,0,2,11,9,3,0,30,1,0,0,5,0,0,0.193798449,0.22360902255639098
Total,SDP,125,415,372,96,76,13,3,4,48,18,39,0,80,2,0,2,8,26,7,0.258064516,0.305956416464891
Total,NYY,120,450,394,82,41,20,1,20,43,64,45,1,114,5,6,0,6,0,0,0.208121827,0.3110690423162583
Total,WSN,23,93,84,13,6,5,0,2,7,11,8,0,26,0,1,0,1,0,0,0.154761904,0.23021505376344087
Total,WSN,236,992,855,244,178,40,8,18,148,77,100,0,167,23,3,11,10,24,4,0.285380116,0.35386340468909283
Total,NYM,107,285,258,55,37,12,1,5,38,27,22,4,75,2,1,2,8,4,1,0.213178294,0.26648745519713257
Total,KCR,205,853,738,190,92,41,1,56,112,141,92,3,238,13,5,0,19,3,1,0.257452574,0.3835976331360947
Total,STL,180,675,577,137,87,26,1,23,83,82,84,1,170,9,4,1,8,9,6,0.237435008,0.3333135215453195
Total,LAA,164,666,578,127,71,21,0,35,91,93,72,0,193,8,8,0,18,3,4,0.219723183,0.32852852852852854
Total,TBR,165,672,574,153,114,23,1,15,77,75,90,5,102,4,4,0,16,0,1,0.266550522,0.33811094452773616
Total,NYM,190,682,613,163,101,39,1,22,70,103,46,2,155,14,9,0,13,2,1,0.265905383,0.3351176470588235
Total,2 Tms,85,307,281,64,50,8,3,3,23,20,22,0,82,4,0,0,4,0,1,0.227758007,0.2751791530944625
Total,2 Tms,161,575,530,141,99,23,6,13,68,46,40,2,103,3,1,0,13,7,6,0.266037735,0.3215384615384615
Total,BAL,52,209,190,55,39,8,0,8,32,22,15,0,38,2,2,0,1,4,3,0.289473684,0.35148325358851673
Total,BAL,52,209,190,55,39,8,0,8,32,22,15,0,38,2,2,0,1,4,3,0.289473684,0.35148325358851673
Total,SEA,110,367,310,66,44,10,0,12,44,35,48,0,112,2,3,0,9,0,0,0.212903225,0.3074931129476584
Total,SEA,34,121,111,22,13,4,1,4,13,17,9,0,39,0,0,1,3,1,0,0.198198198,0.27566666666666667
Total,3 Tms,113,322,283,55,32,8,0,15,38,37,35,2,93,3,1,0,6,6,1,0.194346289,0.29709375
Total,CLE,243,993,901,254,158,59,0,37,99,176,71,13,148,9,12,0,24,16,4,0.28190899,0.3466836734693878
Total,ATL,240,1060,962,262,156,59,6,41,145,157,71,2,169,13,12,0,13,21,2,0.272349272,0.3482575757575758
Total,2 Tms,205,785,706,156,99,31,1,25,91,93,70,1,218,5,4,0,19,1,0,0.220963172,0.2972066326530612
Total,3 Tms,238,817,756,179,124,34,2,19,104,99,39,1,164,11,10,1,13,39,12,0.236772486,0.28370552147239264
Total,NYY,22,71,69,13,5,2,0,6,9,13,2,0,25,0,0,0,0,0,0,0.188405797,0.2953521126760564
Total,3 Tms,171,597,537,117,76,21,0,20,74,60,54,1,135,2,2,1,15,7,5,0.217877094,0.29346801346801343
Total,2 Tms,133,394,325,65,37,19,0,9,33,46,56,0,118,4,7,0,2,1,2,0.2,0.2996938775510204
