Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,wOBA
Total,PHI,250,887,780,177,104,38,6,29,103,121,88,4,254,16,3,0,28,13,8,0.226923076,0.3195016987542469
Total,CLE,156,540,470,89,54,21,2,12,43,61,54,0,159,1,4,11,12,0,1,0.189361702,0.26758034026465033
Total,2 Tms,218,789,703,202,153,32,13,4,91,49,68,0,153,6,3,9,11,51,17,0.287339971,0.333474358974359
Total,2 Tms,218,789,703,202,153,32,13,4,91,49,68,0,153,6,3,9,11,51,17,0.287339971,0.333474358974359
Total,ARI,286,1191,1085,318,210,56,8,44,157,144,91,5,218,10,5,0,21,12,4,0.293087557,0.3638448566610455
Total,BAL,170,507,474,115,77,25,1,12,56,42,24,0,118,6,1,2,9,12,3,0.242616033,0.29342574257425746
Total,2 Tms,37,87,79,10,8,0,1,1,8,5,7,0,26,0,1,0,2,0,1,0.126582278,0.18241379310344827
Total,OAK,323,1462,1311,339,223,73,5,38,196,156,135,2,261,2,11,3,23,27,11,0.258581235,0.32483870967741935
Total,MIA,298,1126,1025,274,213,46,2,13,104,104,71,8,138,17,10,2,38,12,8,0.267317073,0.30012556053811656
Total,3 Tms,167,505,461,83,54,21,1,7,47,36,38,4,153,4,2,0,6,16,6,0.180043383,0.2347105788423154
Total,ARI,306,1189,1072,262,150,66,11,35,140,152,92,4,222,6,17,2,30,13,6,0.244402985,0.3177345731191885
Total,2 Tms,132,521,481,110,79,20,2,9,51,45,24,1,95,7,7,2,8,7,2,0.228690228,0.2686486486486486
Total,MIA,116,450,407,113,80,17,1,15,54,51,36,0,119,5,2,0,11,0,0,0.277641277,0.3434444444444445
Total,TBR,203,799,736,167,100,31,15,21,98,83,46,4,177,11,3,3,12,28,10,0.226902173,0.2988257575757576
Total,2 Tms,83,261,228,51,39,9,1,2,27,21,27,0,65,6,0,0,10,2,2,0.22368421,0.2877777777777778
Total,MIA,140,554,501,141,95,24,1,21,72,70,44,0,141,7,2,0,15,0,0,0.281437125,0.3544223826714801
Total,TOR,137,496,464,98,60,22,1,15,46,42,27,0,122,1,4,0,6,0,1,0.211206896,0.2701814516129032
