Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,wOBA
Total,ARI,223,931,847,268,172,57,12,27,149,99,70,0,126,4,9,1,22,53,10,0.316410861,0.37496989247311824
Total,OAK,139,529,482,117,73,22,3,19,65,76,33,0,116,9,4,1,10,7,3,0.242738589,0.31233143939393937
Total,2 Tms,117,397,358,89,49,19,3,18,48,48,39,0,92,0,0,0,6,6,1,0.248603351,0.3415239294710327
Total,NYM,217,886,759,182,95,43,0,44,107,121,100,10,213,19,8,0,16,0,2,0.239789196,0.3465776255707762
Total,ARI,211,767,694,204,130,35,17,22,90,97,57,3,161,7,9,0,13,11,5,0.293948126,0.3572329842931937
Total,2 Tms,285,1151,1038,283,189,45,5,44,140,141,93,9,214,9,11,0,24,7,2,0.272639691,0.33768301225919434
Total,ARI,224,781,718,158,112,26,7,13,77,54,45,4,142,5,6,7,13,9,8,0.22005571,0.261061038961039
Total,ARI,53,131,128,27,15,6,2,4,15,13,3,0,30,0,0,0,3,3,0,0.2109375,0.2610763358778626
Total,SDP,90,293,261,67,39,16,2,10,39,37,26,2,47,4,2,0,6,5,1,0.25670498,0.33525085910652924
Total,ARI,271,1058,991,260,167,62,13,18,113,118,49,5,229,7,6,5,12,36,5,0.262361251,0.3034045801526718
Total,ARI,184,630,587,135,92,24,6,13,65,50,30,6,121,5,4,4,17,8,6,0.229982964,0.27026774193548386
Total,KCR,138,501,459,105,73,23,1,8,42,38,38,0,102,2,2,0,10,1,1,0.228758169,0.27712574850299404
Total,ARI,231,978,831,197,109,44,5,39,138,146,129,15,243,8,10,0,20,8,6,0.237063778,0.33595015576323983
Total,TBR,158,594,500,119,80,23,2,14,68,53,72,0,150,17,4,1,12,3,3,0.238,0.32568296795952784
Total,3 Tms,190,692,611,148,114,20,7,7,96,47,58,4,95,11,3,9,6,48,10,0.242225859,0.28900441826215023
Total,ARI,47,68,61,11,3,3,0,5,8,8,4,0,27,3,0,0,1,1,0,0.180327868,0.3172647058823529
Total,2 Tms,146,581,503,109,61,24,3,21,60,59,69,2,164,8,0,1,10,19,4,0.216699801,0.3177179930795848
Total,DET,73,286,251,46,32,9,0,5,22,26,30,0,89,1,4,0,2,0,1,0.183266932,0.2487762237762238
Total,STL,186,580,511,128,86,22,1,19,68,69,62,0,119,3,4,0,16,4,2,0.250489236,0.32561724137931036
Total,SDP,84,372,334,106,65,13,6,22,61,53,30,1,110,5,3,0,4,16,6,0.317365269,0.4093072776280324
Total,ARI,247,1044,948,271,165,56,8,42,123,145,84,7,213,9,3,0,23,4,1,0.285864978,0.36075891996142717
Total,2 Tms,179,743,643,150,75,33,0,42,109,95,82,5,188,13,5,0,20,4,1,0.233281493,0.3469444444444444
Total,MIN,114,395,354,81,47,17,4,13,49,39,25,0,137,14,1,1,4,1,2,0.228813559,0.3124035532994924
Total,2 Tms,82,275,237,62,48,12,0,2,28,24,30,0,47,6,2,0,11,3,1,0.261603375,0.31445090909090906
Total,ARI,201,744,685,161,102,42,4,13,82,74,54,3,165,2,1,2,14,11,3,0.235036496,0.28717320703653587
Total,TBR,237,972,846,209,102,45,4,58,153,148,105,4,259,15,6,0,5,11,1,0.247044917,0.36368078512396695
Total,MIA,203,810,733,178,104,31,9,34,117,104,60,0,230,8,6,2,3,37,15,0.242837653,0.3243023543990087
Total,2 Tms,142,465,423,118,97,16,0,5,52,35,34,0,93,7,1,0,18,8,1,0.27895981,0.3103956989247312
Total,3 Tms,225,923,799,173,91,42,0,40,107,106,100,1,237,9,6,0,21,0,2,0.21652065,0.3172190580503833
Total,TBR,214,881,770,184,94,41,2,47,128,124,95,4,228,12,4,0,3,8,1,0.238961038,0.3479942987457241
