Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,wOBA
Total,PHI,41,166,142,33,13,11,4,5,25,22,16,0,43,5,2,1,3,6,2,0.232394366,0.3512727272727273
Total,CLE,97,336,277,65,42,14,1,8,42,26,44,1,92,2,3,10,11,0,0,0.234657039,0.32273846153846153
Total,ATL,57,192,169,40,26,7,4,3,25,21,17,0,43,2,1,3,3,14,7,0.23668639,0.311005291005291
Total,ATL,57,192,169,40,26,7,4,3,25,21,17,0,43,2,1,3,3,14,7,0.23668639,0.311005291005291
Total,ARI,211,767,694,204,130,35,17,22,90,97,57,3,161,7,9,0,13,11,5,0.293948126,0.3659554973821989
Total,BAL,75,282,257,69,51,13,0,5,32,19,18,0,54,2,2,3,3,4,1,0.26848249,0.3091756272401434
Total,ARI,53,131,128,27,15,6,2,4,15,13,3,0,30,0,0,0,3,3,0,0.2109375,0.2677862595419847
Total,OAK,312,1216,1111,272,173,49,9,41,137,113,99,2,271,2,2,2,27,24,7,0.244824482,0.3193481848184819
Total,MIA,173,444,401,110,84,23,1,2,52,35,28,4,51,1,5,9,16,4,2,0.274314214,0.29529002320185616
Total,ARI,271,1058,991,260,167,62,13,18,113,118,49,5,229,7,6,5,12,36,5,0.262361251,0.3093797709923664
Total,ARI,184,630,587,135,92,24,6,13,65,50,30,6,121,5,4,4,17,8,6,0.229982964,0.27538709677419354
Total,PIT,280,1144,1047,298,208,60,10,20,136,110,51,2,181,29,11,6,16,31,11,0.284622731,0.3311707746478873
Total,2 Tms,17,54,50,15,9,5,1,0,3,7,2,0,15,1,1,0,0,0,0,0.3,0.33851851851851855
Total,TBR,205,851,763,198,129,36,6,27,113,75,72,3,187,10,2,4,7,36,9,0.259501965,0.335260663507109
Total,TBR,158,594,500,119,80,23,2,14,68,53,72,0,150,17,4,1,12,3,3,0.238,0.32946037099494097
Total,2 Tms,27,83,76,21,14,6,1,0,5,8,5,0,24,1,1,0,1,0,0,0.276315789,0.31409638554216873
Total,3 Tms,168,593,548,142,81,44,2,15,54,77,36,1,128,7,2,0,14,2,1,0.259124087,0.32483108108108105
Total,SDP,141,474,422,104,83,14,3,4,55,18,46,0,101,2,0,4,9,28,7,0.246445497,0.2950851063829788
Total,SEA,309,1280,1161,273,153,69,2,49,134,166,96,9,248,13,10,0,16,4,3,0.235142118,0.3145003933910307
Total,STL,26,44,38,12,7,0,1,4,6,12,4,0,8,2,0,0,1,1,1,0.315789473,0.4693181818181818
Total,DET,232,876,800,172,96,43,9,24,101,67,52,2,269,19,3,2,18,24,7,0.215,0.29244266055045876
Total,MIA,305,1277,1127,301,190,74,6,31,154,139,114,3,269,30,6,0,34,7,5,0.267080745,0.34324175824175823
Total,LAA,106,406,357,85,57,18,3,7,44,33,40,0,93,5,3,1,6,2,5,0.238095238,0.3085185185185185
Total,TEX,228,912,774,170,64,39,2,65,140,145,130,8,340,6,1,1,3,7,6,0.219638242,0.3711295681063123
Total,NYM,195,815,735,236,154,49,7,26,118,94,49,3,99,26,1,4,7,12,7,0.321088435,0.39243811881188123
Total,BAL,99,309,283,59,42,8,3,6,29,23,14,0,83,6,1,5,6,10,1,0.208480565,0.26177631578947363
