Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,wOBA
Total,CHC,71,278,236,57,34,6,1,16,52,43,37,1,79,4,1,0,4,3,3,0.241525423,0.36469314079422377
Total,OAK,193,636,581,141,118,18,3,2,69,52,44,1,78,3,2,6,14,13,4,0.242685025,0.269268680445151
Total,KCR,261,1048,947,252,161,51,1,39,117,127,73,2,131,16,7,5,28,2,3,0.266103484,0.33841498559077804
Total,2 Tms,111,364,325,87,62,17,5,3,45,36,23,1,96,5,5,6,7,4,2,0.267692307,0.3107843137254902
Total,2 Tms,106,367,340,84,46,24,1,13,42,51,19,0,75,5,3,0,9,0,0,0.247058823,0.31948228882833785
Total,PIT,96,300,272,72,57,14,0,1,19,23,18,2,49,5,2,3,5,0,0,0.264705882,0.2889830508474576
Total,CIN,174,725,661,167,101,38,3,25,95,78,51,4,115,4,7,2,13,7,4,0.252647503,0.32186369958275385
Total,WSN,258,1027,957,257,179,41,0,37,99,148,56,4,180,2,12,0,33,0,0,0.268547544,0.3190615835777126
Total,2 Tms,286,1302,1135,335,235,56,16,28,186,122,122,4,231,27,6,12,9,34,12,0.295154185,0.36473561430793155
Total,TOR,177,721,679,201,129,54,1,17,90,83,34,0,141,2,4,2,11,9,4,0.296023564,0.3418776077885953
Total,2 Tms,190,702,620,136,82,35,1,18,72,67,72,1,206,6,2,2,17,1,1,0.219354838,0.30094420600858374
Total,LAA,288,1228,1148,284,196,41,0,47,117,181,69,10,169,4,7,0,42,4,0,0.247386759,0.3027914614121511
Total,2 Tms,133,343,302,59,34,11,2,12,41,34,39,0,91,0,2,0,1,5,0,0.195364238,0.2914868804664723
Total,OAK,269,1153,1010,275,163,76,4,32,141,157,134,3,202,4,5,0,15,0,1,0.272277227,0.35594782608695646
Total,4 Tms,298,1293,1094,290,182,60,4,44,181,138,177,5,264,14,8,0,15,21,14,0.265082266,0.36228260869565215
Total,2 Tms,146,581,503,109,61,24,3,21,60,59,69,2,164,8,0,1,10,19,4,0.216699801,0.32235294117647056
Total,2 Tms,215,957,830,227,124,43,1,59,145,154,106,10,274,9,12,0,21,6,0,0.273493975,0.3837486800422386
Total,CLE,151,491,460,128,88,27,0,13,57,58,21,3,109,4,4,2,9,5,3,0.278260869,0.31936213991769546
Total,2 Tms,59,228,197,49,33,10,0,6,30,31,30,1,39,0,1,0,5,0,0,0.248730964,0.3289867841409692
Total,3 Tms,165,661,597,150,80,33,1,36,74,102,47,4,151,14,3,0,17,0,0,0.251256281,0.35050228310502285
Total,HOU,89,378,321,100,46,26,0,28,60,82,52,4,95,3,2,0,10,0,0,0.311526479,0.44930481283422463
Total,CIN,125,452,408,97,66,19,2,10,58,43,34,0,94,3,2,0,9,13,8,0.237745098,0.29782997762863533
Total,SEA,112,464,407,105,71,12,0,22,62,52,53,0,137,1,3,0,6,7,1,0.257985257,0.3489655172413793
Total,ATL,194,865,723,194,94,40,2,58,177,129,121,6,237,15,6,0,5,49,13,0.268326417,0.4075087310826543
Total,2 Tms,123,329,287,64,44,14,1,5,47,17,19,0,69,21,1,1,3,17,3,0.222996515,0.2972256097560975
Total,BAL,136,452,373,76,42,13,0,21,55,54,71,1,129,6,0,2,4,0,1,0.203753351,0.33543429844098
Total,MIA,182,726,637,169,106,33,0,30,80,127,69,4,133,4,11,0,16,0,1,0.265306122,0.34446304044630405
Total,NYY,124,475,426,110,64,12,1,33,67,87,38,0,128,10,1,0,16,0,0,0.258215962,0.37208421052631574
Total,MIN,205,802,710,148,68,36,0,44,100,103,86,3,294,4,2,0,16,3,1,0.208450704,0.323892365456821
Total,MIN,36,98,89,15,11,1,0,3,8,7,6,0,29,1,0,2,2,0,0,0.168539325,0.23145833333333332
Total,2 Tms,99,342,283,54,33,10,1,10,35,39,52,1,94,4,2,1,3,13,3,0.19081272,0.3028235294117647
Total,TBR,217,823,748,201,145,38,4,14,95,95,67,3,130,2,5,1,7,30,13,0.268716577,0.31695970695970693
Total,CHW,123,406,368,90,67,13,2,8,47,41,31,0,90,3,2,2,6,1,2,0.244565217,0.2973514851485149
Total,MIN,202,788,696,145,68,35,0,42,96,101,86,3,290,4,2,0,16,3,1,0.208333333,0.32270063694267515
Total,CHC,174,610,544,120,79,24,4,13,59,50,58,2,125,7,1,0,7,7,1,0.220588235,0.2944901315789474
Total,SFG,195,758,641,160,88,28,3,41,100,97,102,6,194,13,2,0,19,4,2,0.249609984,0.3737234042553192
Total,3 Tms,140,421,392,78,55,12,1,10,48,34,16,0,144,3,3,7,4,21,2,0.198979591,0.24205314009661835
