Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,wOBA
Total,2 Tms,255,1028,954,260,186,47,3,24,99,114,54,6,136,10,9,1,25,0,0,0.272536687,0.3147992164544564
Total,CIN,140,493,432,98,54,21,1,22,48,70,47,4,112,12,2,0,8,1,3,0.226851851,0.32936605316973416
Total,NYY,45,178,157,41,21,9,0,11,26,31,19,0,53,1,1,0,1,0,0,0.261146496,0.37668539325842704
Total,CLE,224,970,871,277,181,72,1,23,111,134,86,13,83,4,9,0,23,29,2,0.318025258,0.37189132706374084
Total,CLE,186,749,704,148,85,36,3,24,68,97,24,1,196,10,11,0,19,0,0,0.210227272,0.26778074866310164
Total,MIN,170,596,562,133,95,28,8,2,72,38,21,1,148,4,1,8,8,25,13,0.236654804,0.26499148211243606
Total,2 Tms,231,901,808,191,123,32,2,34,118,90,79,0,304,10,3,1,12,19,12,0.236386138,0.31873333333333337
Total,PIT,237,582,524,136,84,28,2,22,74,73,38,2,165,11,3,6,15,4,3,0.259541984,0.3360975609756098
Total,2 Tms,157,497,446,101,71,13,4,13,50,53,34,0,80,10,6,1,14,2,3,0.226457399,0.2922177419354839
Total,TEX,60,162,155,30,26,3,1,0,14,9,2,0,34,0,0,5,3,2,0,0.193548387,0.19203821656050954
Total,BOS,48,116,109,31,26,4,0,1,18,7,6,0,25,1,0,0,0,1,1,0.284403669,0.3032758620689655
Total,BAL,109,335,301,57,38,10,0,9,32,29,31,2,88,1,1,1,5,2,0,0.18936877,0.25948795180722894
Total,BOS,48,116,109,31,26,4,0,1,18,7,6,0,25,1,0,0,0,1,1,0.284403669,0.3032758620689655
Total,2 Tms,208,734,676,163,99,38,3,23,69,89,51,4,122,3,3,1,8,0,1,0.24112426,0.30825788751714683
Total,2 Tms,233,988,869,227,137,46,10,34,134,100,101,1,166,10,7,1,16,6,0,0.261219792,0.3510649087221095
Total,CIN,135,471,402,120,83,23,0,14,59,58,64,4,70,2,1,2,8,1,1,0.298507462,0.3770322580645162
Total,ARI,231,978,831,197,109,44,5,39,138,146,129,15,243,8,10,0,20,8,6,0.237063778,0.3409241952232607
Total,NYY,164,663,627,180,102,49,2,27,84,97,27,2,108,4,5,0,13,3,1,0.287081339,0.3532223903177004
Total,2 Tms,241,972,914,256,163,55,9,29,115,96,47,7,189,5,6,0,22,12,4,0.280087527,0.3351295336787565
Total,CLE,102,373,340,79,55,16,2,6,45,34,25,1,122,5,3,0,6,17,1,0.232352941,0.2840591397849463
Total,COL,25,81,76,17,15,2,0,0,8,7,4,0,27,1,0,0,2,0,0,0.22368421,0.23913580246913577
Total,SFG,112,433,402,97,65,23,3,6,46,45,26,1,122,1,4,0,1,6,5,0.241293532,0.2849305555555556
Total,PIT,189,762,671,167,89,41,7,30,101,101,75,7,178,5,7,0,15,15,3,0.248882265,0.34292942743009325
Total,MIN,124,463,430,104,49,38,5,12,66,58,26,2,123,3,1,3,4,23,3,0.241860465,0.316353711790393
Total,ARI,247,1044,948,271,165,56,8,42,123,145,84,7,213,9,3,0,23,4,1,0.285864978,0.36676952748312436
Total,SFG,36,111,105,24,16,2,0,6,13,14,6,1,52,0,0,0,2,0,0,0.228571428,0.2984545454545454
Total,COL,133,552,504,140,81,30,8,21,85,85,35,0,148,5,6,2,4,5,5,0.277777777,0.35745454545454547
Total,LAD,83,199,174,36,14,8,1,13,27,26,20,0,57,4,1,0,6,0,0,0.206896551,0.3438190954773869
Total,2 Tms,51,152,140,29,19,7,0,3,24,11,10,0,47,1,0,1,1,9,1,0.207142857,0.263046357615894
Total,2 Tms,143,478,421,83,51,18,0,14,38,50,49,1,135,5,2,1,6,0,0,0.197149643,0.2822899159663866
Total,MIA,155,609,539,143,80,34,2,27,76,87,52,2,153,16,2,0,13,4,0,0.265306122,0.3636573311367381
Total,SFG,147,592,529,142,92,26,1,23,75,88,50,3,129,6,7,0,23,2,2,0.268431001,0.3425636672325976
Total,MIA,125,493,433,109,74,16,1,18,51,66,48,3,131,11,1,0,6,5,0,0.251732101,0.336265306122449
Total,CHC,139,472,416,83,52,13,3,15,47,64,44,0,113,7,4,1,19,2,1,0.19951923,0.28694267515923566
Total,4 Tms,175,583,545,136,86,24,5,21,75,73,25,1,126,12,1,0,10,9,5,0.249541284,0.3185910652920962
Total,ARI,201,744,685,161,102,42,4,13,82,74,54,3,165,2,1,2,14,11,3,0.235036496,0.29138024357239517
Total,HOU,47,163,146,38,24,8,0,6,22,28,10,0,50,4,1,2,0,3,0,0.260273972,0.3347826086956522
Total,2 Tms,148,328,291,70,53,6,2,9,49,46,24,0,64,13,0,0,9,2,2,0.240549828,0.3147865853658537
Total,SEA,110,367,310,66,44,10,0,12,44,35,48,0,112,2,3,0,9,0,0,0.212903225,0.3074931129476584
Total,TBR,169,582,523,100,38,18,2,42,79,88,46,0,215,11,2,0,9,0,0,0.191204588,0.32333333333333336
Total,CIN,257,1058,896,213,109,47,2,55,126,154,144,6,261,14,4,0,17,1,0,0.237723214,0.3623003802281369
