date,team,name,notes
2016-06-09,Reds,• Kyle Skipworth,activated from 60-day DL
2016-11-03,Red Sox,• Blake Swihart,activated from 60-day DL
2016-09-06,Marlins,• Justin Bour,activated from 60-day DL
2017-06-05,Yankees,• Tyler Austin,activated from 60-day DL
2017-08-22,Royals,• Paulo Orlando,activated from 60-day DL
2017-08-26,Yankees,• Greg Bird,activated from 60-day DL
2017-11-02,Blue Jays,• Troy Tulowitzki,activated from 60-day DL
2018-06-09,Nationals,• Adam Eaton,activated from 60-day DL
2018-11-02,Orioles,• Austin Hays,activated from 60-day DL
2020-10-31,Cubs,• Daniel Descalso,activated from 60-day IL
2021-06-07,Mariners,• Shed Long Jr.,activated from 60-day IL
2021-07-29,Indians,• Jordan Luplow,activated from 60-day IL
2021-11-07,Indians,• Josh Naylor,activated from 60-day IL
2021-10-22,Mariners,• Shed Long Jr.,activated from 60-day IL
2022-08-06,Mariners,• Mitch Haniger,activated from 60-day IL
2022-11-10,Red Sox,• Franchy Cordero,activated from 60-day IL
