date,team,name,notes
2016-08-26,Diamondbacks,• AJ Pollock,activated from 60-day DL
2016-07-20,Pirates,• Elias Diaz,activated from 60-day DL
2016-11-03,Orioles,• Steve Pearce,activated from 60-day DL
2017-11-02,White Sox,• Geovany Soto,activated from 60-day DL
2018-11-02,Mets,• Travis d'Arnaud,activated from 60-day DL
2018-11-01,Nationals,• Jhonatan Solano,activated from 60-day DL
2018-06-18,Rangers,• Elvis Andrus,activated from 60-day DL
2018-11-02,Dodgers,• Corey Seager,activated from 60-day DL
2019-06-07,Yankees,• Didi Gregorius,activated from 60-day IL
2019-11-04,Padres,• Franchy Cordero,activated from 60-day IL
2019-07-12,Dodgers,• AJ Pollock,activated from 60-day IL
2019-10-31,Giants,• Pablo Sandoval,activated from 60-day IL
2019-10-21,Nationals,• Spencer Kieboom,activated from 60-day IL
2019-10-12,Yankees,• Aaron Hicks,activated from 60-day IL
2020-09-12,Royals,• Kelvin Gutierrez,activated from 60-day IL
2020-10-28,Mets,• Rene Rivera,activated from 60-day IL
2020-10-29,Giants,• Joey Rickard,activated from 60-day IL
2020-11-01,Pirates,• Anthony Alford,activated from 60-day IL
2020-11-01,Pirates,• Anthony Alford,activated from 60-day IL
2021-10-21,Angels,• Franklin Barreto,activated from 60-day IL
2021-11-06,Padres,• Jorge Ona,activated from 60-day IL
2021-11-05,Marlins,• Garrett Cooper,activated from 60-day IL
2021-11-05,Rangers,• Eli White,activated from 60-day IL
2022-11-10,Tigers,• Jake Rogers,activated from 60-day IL
