date,team,name,notes
2016-06-09,Rangers,• Robinson Chirinos,activated from 60-day DL
2016-09-06,Padres,• Jon Jay,activated from 60-day DL
2017-06-01,Nationals,• Jose Marmolejos,activated from 60-day DL
2018-10-30,Padres,• Franchy Cordero,activated from 60-day DL
2019-11-04,Indians,• Christian Arroyo,activated from 60-day IL
2019-11-01,Marlins,• JT Riddle,activated from 60-day IL
2021-11-05,Cubs,• P.J. Higgins,activated from 60-day IL
2021-09-15,Rangers,• Willie Calhoun,activated from 60-day IL
2021-11-07,Cubs,• Michael Hermosillo,activated from 60-day IL
2022-11-10,Nationals,• Carter Kieboom,activated from 60-day IL
2022-11-10,Rangers,• Mitch Garver,activated from 60-day IL
