date,team,name,notes
2016-07-18,Indians,• Roberto Perez,activated from 60-day DL
2016-10-31,Mariners,• Steve Clevenger,activated from 60-day DL
2016-09-16,Braves,• Mallex Smith,activated from 60-day DL
2016-11-04,Orioles,• Joey Rickard,activated from 60-day DL
2017-06-10,Diamondbacks,• Socrates Brito,activated from 60-day DL
2017-07-18,Marlins,• Miguel Rojas,activated from 60-day DL
2017-11-03,Diamondbacks,• Chris Owings,activated from 60-day DL
2017-11-03,Diamondbacks,• Nick Ahmed,activated from 60-day DL
2017-11-06,Pirates,• Josh Harrison,activated from 60-day DL
2018-06-19,Rays,• Kevin Kiermaier,activated from 60-day DL
2018-11-02,Diamondbacks,• Daniel Robertson,activated from 60-day DL
2018-11-02,Blue Jays,• Brandon Drury,activated from 60-day DL
2019-05-25,Mariners,• Kyle Seager,activated from 60-day IL
2019-10-31,Pirates,• Lonnie Chisenhall,activated from 60-day IL
2019-11-01,Marlins,• Brian Anderson,activated from 60-day IL
2019-11-04,Angels,• Luis Rengifo,activated from 60-day IL
2020-10-30,Pirates,• Luke Maile,activated from 10-day / 60-day IL
2020-10-28,Tigers,• Troy Stokes Jr.,activated from 60-day IL
2020-09-29,White Sox,• Leury Garcia,activated from 60-day IL
2020-10-28,Tigers,• JaCoby Jones,activated from 60-day IL
2021-06-22,Rockies,• Chris Owings,activated from 60-day IL
2021-08-11,Braves,• Travis d'Arnaud,activated from 60-day IL
2021-07-03,Indians,• Roberto Perez,activated from 60-day IL
2021-07-30,Dodgers,• Corey Seager,activated from 60-day IL
2021-08-11,Reds,• Alex Blandino,activated from 60-day IL
2021-11-03,Rockies,• Chris Owings,activated from 60-day IL
2021-11-06,Padres,• Austin Nola,activated from 60-day IL
2021-11-07,Cubs,• Alfonso Rivas,activated from 60-day IL
2022-08-04,Phillies,• Jean Segura,activated from 60-day IL
2022-07-11,Pirates,• Jake Marisnick,activated from 60-day IL
2022-10-04,Reds,• Aramis Garcia,activated from 60-day IL
2022-08-26,Phillies,• Bryce Harper,activated from 60-day IL
2022-09-27,Twins,• Ryan Jeffers,activated from 60-day IL
2022-11-10,Cubs,• Rafael Ortega,activated from 60-day IL
2022-11-10,Blue Jays,• Vinny Capra,activated from 60-day IL
