date,team,name,notes
2016-10-22,Cubs,• Kyle Schwarber,activated from 60-day DL
2016-08-23,Rangers,• Josh Hamilton,activated from 60-day DL
2016-10-06,Athletics,• Eric Sogard,activated from 60-day DL
2016-11-04,Royals,• Mike Moustakas,activated from 60-day DL
2016-11-03,Red Sox,• Josh Rutledge,activated from 60-day DL
2016-10-07,Athletics,• Josh Phegley,activated from 60-day DL
2016-09-04,Cardinals,• Brayan Pena,activated from 60-day DL
2016-11-04,Pirates,• Chris Stewart,activated from 60-day DL
2016-11-04,Pirates,• Elias Diaz,activated from 60-day DL
2016-10-27,Reds,• Zack Cozart,activated from 60-day DL
2017-06-24,Rays,• Wilson Ramos,activated from 60-day DL
2017-11-06,Dodgers,• Andrew Toles,activated from 60-day DL
2017-11-03,Nationals,• Adam Eaton,activated from 60-day DL
2017-11-02,Blue Jays,• Devon Travis,activated from 60-day DL
2017-11-06,Athletics,• Dustin Fowler,activated from 60-day DL
2018-08-01,Athletics,• Boog Powell,activated from 60-day DL
2018-10-29,Twins,• Jason Castro,activated from 60-day DL
2018-08-15,Angels,• Rene Rivera,activated from 60-day DL
2018-11-02,Reds,• Alex Blandino,activated from 60-day DL
2018-11-01,Red Sox,• Dustin Pedroia,activated from 60-day DL
2018-11-02,Angels,• Albert Pujols,activated from 60-day DL
2018-11-02,Orioles,• Mark Trumbo,activated from 60-day DL
2019-07-01,Athletics,• Chris Herrmann,activated from 60-day IL
2019-11-04,Blue Jays,• Devon Travis,activated from 60-day IL
2019-09-02,Orioles,• Mark Trumbo,activated from 60-day IL
2019-09-07,Mets,• Jed Lowrie,activated from 60-day IL
2019-10-31,Red Sox,• Dustin Pedroia,activated from 60-day IL
2019-07-15,Rays,• Anthony Bemboom,activated from 60-day IL
2019-11-04,Phillies,• Andrew McCutchen,activated from 60-day IL
2019-11-04,Diamondbacks,• Steven Souza Jr.,activated from 60-day IL
2019-09-18,Yankees,• Giancarlo Stanton,activated from 60-day IL
2019-11-04,Indians,• Tyler Naquin,activated from 60-day IL
2019-11-04,Braves,• Alex Jackson,activated from 60-day IL
2020-10-31,Red Sox,• Dustin Pedroia,activated from 60-day IL
2020-10-28,Mets,• Jed Lowrie,activated from 60-day IL
2020-10-28,Tigers,• C.J. Cron,activated from 60-day IL
2020-11-02,Astros,• Yordan Alvarez,activated from 60-day IL
2020-10-28,Mets,• Eduardo Nunez,activated from 60-day IL
2021-10-29,Mets,• Jose Martinez,activated from 60-day IL
2021-07-01,Giants,• Jaylin Davis,activated from 60-day IL
2021-11-03,Angels,• Dexter Fowler,activated from 60-day IL
2021-11-05,Rangers,• Ronald Guzman,activated from 60-day IL
2021-08-15,Reds,• Nick Senzel,activated from 60-day IL
2021-11-05,Mariners,• Kyle Lewis,activated from 60-day IL
2021-11-06,Braves,• Ronald Acuna Jr.,activated from 60-day IL
2021-11-05,Yankees,• Tim Locastro,activated from 60-day IL
2021-11-07,Orioles,• DJ Stewart,activated from 60-day IL
2021-11-05,Marlins,• Jesus Aguilar,activated from 60-day IL
2021-11-07,Yankees,• Luke Voit,activated from 60-day IL
2022-07-25,Twins,• Miguel Sano,activated from 60-day IL
2022-08-02,Yankees,• Ben Rortvedt,activated from 60-day IL
2022-11-10,Twins,• Royce Lewis,activated from 60-day IL
2022-07-29,Reds,• Jake Fraley,activated from 60-day IL
2022-08-20,Rays,• Manuel Margot,activated from 60-day IL
2022-11-09,White Sox,• Danny Mendick,activated from 60-day IL
2022-11-06,Astros,• Jason Castro,activated from 60-day IL
2022-11-07,Twins,• Miguel Sano,activated from 60-day IL
2022-11-10,Cubs,• Jason Heyward,activated from 60-day IL
2022-11-06,Giants,• Brandon Belt,activated from 60-day IL
2022-11-10,Angels,• Andrew Velazquez,activated from 60-day IL
2022-11-06,Twins,• Sandy Leon,activated from 60-day IL
