date,team,name,notes
2016-07-28,Phillies,• Aaron Altherr,activated from 60-day DL
2016-11-07,Dodgers,• Scott Van Slyke,activated from 60-day DL
2016-11-03,Diamondbacks,• David Peralta,activated from 60-day DL
2017-07-06,Athletics,• Marcus Semien,activated from 60-day DL
2017-07-10,Braves,• Micah Johnson,activated from 60-day DL
2017-09-08,Orioles,• J.J. Hardy,activated from 60-day DL
2017-08-29,Nationals,• Trea Turner,activated from 60-day DL
2018-07-06,Marlins,• Garrett Cooper,activated from 60-day DL
2018-10-31,Marlins,• Garrett Cooper,activated from 60-day DL
2019-07-22,Padres,• Travis Jankowski,activated from 60-day IL
2019-11-01,Cardinals,• Lane Thomas,activated from 60-day IL
2019-10-31,Tigers,• JaCoby Jones,activated from 60-day IL
2019-11-04,Rangers,• Joey Gallo,activated from 60-day IL
2019-11-04,Mets,• Jeff McNeil,activated from 60-day IL
2020-11-02,Orioles,• Richie Martin,activated from 60-day IL
2020-09-23,Royals,• Franchy Cordero,activated from 60-day IL
2020-11-02,Nationals,• Starlin Castro,activated from 60-day IL
2020-10-28,Tigers,• Jonathan Schoop,activated from 60-day IL
2021-06-13,Reds,• Aristides Aquino,activated from 60-day IL
2021-08-12,Cubs,• Austin Romine,activated from 60-day IL
2021-06-03,Pirates,• Ke'Bryan Hayes,activated from 60-day IL
2021-11-07,Yankees,• Aaron Hicks,activated from 60-day IL
2021-08-02,Orioles,• Richie Martin,activated from 60-day IL
2021-11-07,Yankees,• Miguel Andujar,activated from 60-day IL
2022-11-10,Padres,• Fernando Tatis Jr.,activated from 60-day IL
2022-11-10,Braves,• Manny Pina,activated from 60-day IL
2022-09-28,Angels,• Anthony Rendon,activated from 60-day IL
2022-11-10,Pirates,• Canaan Smith-Njigba,activated from 60-day IL
2022-09-28,Angels,• Anthony Rendon,activated from 60-day IL
2022-11-10,Rangers,• Eli White,activated from 60-day IL
2022-11-06,Braves,• Adam Duvall,activated from 60-day IL
2022-11-10,Twins,• Alex Kirilloff,activated from 60-day IL
2022-11-09,Brewers,• Alex Jackson,activated from 60-day IL
2022-11-10,Twins,• Kyle Garlick,activated from 60-day IL
