start,end,team,name,notes
2016-05-22,2016-10-27,Reds,• Yorman Rodriguez,transferred to 60-day DL with strained left hamstring
2016-07-06,2016-10-25,Padres,• Jemile Weeks,transferred to 60-day DL with strained right hamstring
2016-07-18,2016-08-02,Angels,• Cliff Pennington,transferred to 60-day DL with strained left hamstring
2016-09-17,2016-11-03,Braves,• A.J. Pierzynski,transferred to 60-day DL with strained left hamstring
2018-08-14,2018-10-29,Angels,• Chris Young,transferred to 60-day DL with strained left hamstring (out for season)
2018-08-18,2018-10-29,Giants,• Pablo Sandoval,transferred to 60-day DL with strained right hamstring (out for season)
2019-05-10,2019-07-23,Rays,• Matt Duffy,transferred to 60-day IL with tightness in left hamstring
2019-06-09,2019-08-09,Tigers,• Josh Harrison,transferred to 60-day IL with strained left hamstring tendon
2020-09-07,2020-10-31,Marlins,• Harold Ramirez,transferred to 60-day IL with strained left hamstring
2021-05-15,2021-07-10,Diamondbacks,• Kole Calhoun,transferred to 60-day IL with strained left hamstring
2021-05-18,2021-08-04,Giants,• Tommy La Stella,transferred to 60-day IL with strained left hamstring
2021-06-10,2021-11-07,White Sox,• Nick Madrigal,placed on 60-day IL with surgery on right hamstring to repair proximal tear
2021-06-24,2021-07-21,Braves,• Alex Jackson,transferred to 60-day IL with strained left hamstring
2021-08-22,2021-09-01,Brewers,• Daniel Vogelbach,transferred to 60-day IL with strained left hamstring
2021-09-24,2021-11-07,Rockies,• Connor Joe,transferred to 60-day IL with strained right hamstring
2022-04-07,2022-07-22,Pirates,• Greg Allen,placed on 60-day IL with strained left hamstring
2022-04-07,2022-06-13,Phillies,• Rafael Marchan,placed on 60-day IL with strained left hamstring
2022-05-23,2022-06-21,Reds,• Donovan Solano,transferred to 60-day IL with strained left hamstring
2022-06-22,2022-08-17,Dodgers,• Edwin Rios,transferred to 60-day IL with strained right hamstring
2022-06-23,2022-07-06,White Sox,• Eloy Jimenez,transferred to 60-day IL with strained right hamstring
