start,end,team,name,notes
2016-04-02,2016-07-28,Phillies,• Aaron Altherr,placed on 60-day DL recovering from surgery on left wrist to repair torn tendon
2016-05-14,2016-07-18,Indians,• Roberto Perez,transferred to 60-day DL with recovering from surgery to repair fractured right thumb
2016-07-06,2016-10-31,Mariners,• Steve Clevenger,transferred to 60-day DL with fractured right hand
2016-08-10,2016-09-16,Braves,• Mallex Smith,transferred to 60-day DL with fractured left thumb
2016-08-25,2016-11-07,Dodgers,• Scott Van Slyke,transferred to 60-day DL with right wrist injury
2016-08-26,2016-11-03,Diamondbacks,• David Peralta,transferred to 60-day DL with right wrist inflammation
2016-08-31,2016-11-04,Orioles,• Joey Rickard,transferred to 60-day DL with right thumb ligament injury
2017-03-28,2017-06-10,Diamondbacks,• Socrates Brito,placed on 60-day DL with dislocated left ring finger
2017-04-20,2017-07-06,Athletics,• Marcus Semien,transferred to 60-day DL with bruised right wrist
2017-05-08,2017-07-10,Braves,• Micah Johnson,transferred to 60-day DL with fractured left wrist
2017-05-09,2017-07-18,Marlins,• Miguel Rojas,placed on 60-day DL with fractured right thumb
2017-07-31,2017-11-03,Diamondbacks,• Chris Owings,placed on 60-day DL with fractured right middle finger
2017-07-31,2017-09-08,Orioles,• J.J. Hardy,transferred to 60-day DL with fractured right wrist
2017-07-31,2017-11-03,Diamondbacks,• Nick Ahmed,transferred to 60-day DL with fractured right hand
2017-09-10,2017-11-06,Pirates,• Josh Harrison,transferred to 60-day DL with fractured metacarpal in left hand
2018-04-13,2018-07-06,Marlins,• Garrett Cooper,transferred to 60-day DL with bruised right wrist
2018-04-17,2018-06-19,Rays,• Kevin Kiermaier,transferred to 60-day DL with torn ligament in right thumb
2018-09-04,2018-11-02,Diamondbacks,• Daniel Robertson,transferred to 60-day DL with sprained left thumb (out for season)
2018-09-04,2018-10-31,Marlins,• Garrett Cooper,transferred to 60-day DL with sprained right wrist (out for season)
2018-09-26,2018-11-02,Blue Jays,• Brandon Drury,transferred to 60-day DL with fractured left hand (out for season)
2019-03-27,2019-07-22,Padres,• Travis Jankowski,placed on 60-day IL with fractured left wrist
2019-03-30,2019-05-25,Mariners,• Kyle Seager,transferred to 60-day IL recovering from surgery on left hand
2019-05-25,2019-10-31,Pirates,• Lonnie Chisenhall,transferred to 60-day IL with fractured right index finger
2019-09-01,2019-11-01,Cardinals,• Lane Thomas,transferred to 60-day IL with fractured right wrist
2019-09-01,2019-10-31,Tigers,• JaCoby Jones,transferred to 60-day IL with fractured left wrist
2019-09-03,2019-11-01,Marlins,• Brian Anderson,transferred to 60-day IL with fractured left finger
2019-09-18,2019-11-04,Angels,• Luis Rengifo,placed on 60-day IL with fractured hamate bone in left hand
2019-09-20,2019-11-04,Rangers,• Joey Gallo,transferred to 60-day IL recovering from surgery on right wrist to repair fracture
2019-09-26,2019-11-04,Mets,• Jeff McNeil,placed on 60-day IL with fractured right wrist
2020-07-14,2020-11-02,Orioles,• Richie Martin,placed on 60-day IL with fractured right wrist
2020-07-23,2020-10-30,Pirates,• Luke Maile,placed on 10-day /60-day IL with fractured right index finger
2020-08-07,2020-10-28,Tigers,• Troy Stokes Jr.,placed on 60-day IL with fractured hamate bone in hand
2020-08-10,2020-09-23,Royals,• Franchy Cordero,transferred to 60-day IL with fractured hamate bone in right wrist
2020-08-15,2020-09-29,White Sox,• Leury Garcia,transferred to 60-day IL with sprained left thumb
2020-08-29,2020-11-02,Nationals,• Starlin Castro,transferred to 60-day IL with fractured right wrist
2020-09-10,2020-10-28,Tigers,• JaCoby Jones,transferred to 60-day IL with fractured left hand
2020-09-22,2020-10-28,Tigers,• Jonathan Schoop,transferred to 60-day IL with sprained right wrist
2021-04-18,2021-06-22,Rockies,• Chris Owings,transferred to 60-day IL with sprained left thumb
2021-04-25,2021-06-13,Reds,• Aristides Aquino,transferred to 60-day IL with fractured hamate bone in left wrist
2021-05-02,2021-08-11,Braves,• Travis d'Arnaud,placed on 60-day IL with sprained left thumb
2021-05-05,2021-08-12,Cubs,• Austin Romine,transferred to 60-day IL with sprained left wrist
2021-05-09,2021-06-03,Pirates,• Ke'Bryan Hayes,transferred to 60-day IL with jammed left wrist
2021-05-23,2021-07-03,Indians,• Roberto Perez,transferred to 60-day IL with fractured right ring finger
2021-05-30,2021-11-07,Yankees,• Aaron Hicks,transferred to 60-day IL with sprained left wrist / torn tendon in left wrist
2021-05-31,2021-08-02,Orioles,• Richie Martin,placed on 60-day IL with fractured left wrist
2021-06-30,2021-07-30,Dodgers,• Corey Seager,transferred to 60-day IL with fractured right hand
2021-07-16,2021-08-11,Reds,• Alex Blandino,transferred to 60-day IL with fractured right hand
2021-08-18,2021-11-03,Rockies,• Chris Owings,transferred to 60-day IL with mallet finger injury in left thumb
2021-08-23,2021-11-07,Yankees,• Miguel Andujar,transferred to 60-day IL with sprained left wrist
2021-10-01,2021-11-06,Padres,• Austin Nola,transferred to 60-day IL with strained left thumb
2021-10-03,2021-11-07,Cubs,• Alfonso Rivas,transferred to 60-day IL with tendon injury in right middle finger
2022-04-07,2022-11-10,Padres,• Fernando Tatis Jr.,placed on 60-day IL with fractured left wrist
2022-06-01,2022-11-10,Braves,• Manny Pina,transferred to 60-day IL with surgery on left wrist
2022-06-14,2022-08-04,Phillies,• Jean Segura,transferred to 60-day IL with fractured right index finger
2022-06-15,2022-09-28,Angels,• Anthony Rendon,transferred to 60-day IL with surgery on right wrist
2022-06-17,2022-11-10,Pirates,• Canaan Smith-Njigba,placed on 60-day IL with fractured right wrist
2022-06-18,2022-09-28,Angels,• Anthony Rendon,transferred to 60-day IL with surgery on right wrist
2022-06-21,2022-11-10,Rangers,• Eli White,transferred to 60-day IL with fractured right wrist
2022-06-22,2022-07-11,Pirates,• Jake Marisnick,transferred to 60-day IL with ligament damage in left thumb
2022-08-10,2022-11-06,Braves,• Adam Duvall,transferred to 60-day IL with surgery on left wrist
2022-08-11,2022-10-04,Reds,• Aramis Garcia,transferred to 60-day IL with fractured/sprained left middle finger
2022-08-18,2022-08-26,Phillies,• Bryce Harper,transferred to 60-day IL with fractured left thumb
2022-08-23,2022-11-10,Twins,• Alex Kirilloff,transferred to 60-day IL recovering from ulnar shortening osteotomy surgery on right wrist
2022-08-27,2022-11-09,Brewers,• Alex Jackson,placed on 60-day IL with left wrist inflammation
2022-09-03,2022-09-27,Twins,• Ryan Jeffers,transferred to 60-day IL with bruised/fractured right thumb
2022-09-14,2022-11-10,Cubs,• Rafael Ortega,placed on 60-day IL with fractured left/right ring finger
2022-10-03,2022-11-10,Twins,• Kyle Garlick,transferred to 60-day IL with sprained left/right wrist
2022-10-05,2022-11-10,Blue Jays,• Vinny Capra,placed on 60-day IL with surgery on left middle finger to repair tendon
