start,end,team,name,notes
2016-04-11,2016-10-22,Cubs,• Kyle Schwarber,"transferred to 60-day DL with torn ligaments in left knee, sprained left ankle (out for season)"
2016-05-07,2016-08-23,Rangers,• Josh Hamilton,transferred to 60-day DL recovering from surgery on left knee
2016-05-11,2016-10-06,Athletics,• Eric Sogard,transferred to 60-day DL with cervical strain / recovering from surgery on left knee (MLB) (out for season)
2016-06-14,2016-11-04,Royals,• Mike Moustakas,transferred to 60-day DL with torn ACL in right knee
2016-07-14,2016-11-03,Red Sox,• Josh Rutledge,transferred to 60-day DL with patellar tendinitis in left knee (surgery)
2016-08-06,2016-10-07,Athletics,• Josh Phegley,transferred to 60-day DL with strained right knee / cyst in right knee (out for season)
2016-08-09,2016-09-04,Cardinals,• Brayan Pena,transferred to 60-day DL with left knee inflammation
2016-09-13,2016-11-04,Pirates,• Chris Stewart,placed on 60-day DL with left knee injury
2016-09-13,2016-11-04,Pirates,• Elias Diaz,placed on 60-day DL with cellulitis in left knee
2016-09-28,2016-10-27,Reds,• Zack Cozart,transferred to 60-day DL with sore right knee
2017-03-31,2017-06-24,Rays,• Wilson Ramos,placed on 60-day DL recovering from surgery on right knee to repair torn ACL
2017-05-26,2017-11-06,Dodgers,• Andrew Toles,transferred to 60-day DL with torn ACL in right knee
2017-06-01,2017-11-03,Nationals,• Adam Eaton,transferred to 60-day DL with torn ACL in left knee (out for season)
2017-06-23,2017-11-02,Blue Jays,• Devon Travis,transferred to 60-day DL with bone bruise in right knee
2017-07-01,2017-11-06,Yankees,• Dustin Fowler,transferred to 60-day DL with ruptured patella tendon in right knee
2018-06-07,2018-08-01,Athletics,• Boog Powell,transferred to 60-day DL with sprained right knee
2018-06-07,2018-10-29,Twins,• Jason Castro,transferred to 60-day DL with surgery on right knee to repair torn meniscus (out for season)
2018-06-23,2018-08-15,Angels,• Rene Rivera,transferred to 60-day DL with right knee inflammation
2018-07-26,2018-11-02,Reds,• Alex Blandino,transferred to 60-day DL with torn ACL in right knee (out for season)
2018-08-04,2018-11-01,Red Sox,• Dustin Pedroia,transferred to 60-day DL with left knee inflammation (out for season)
2018-09-03,2018-11-02,Angels,• Albert Pujols,transferred to 60-day DL recovering from surgery on left knee (out for season)
2018-09-11,2018-11-02,Orioles,• Mark Trumbo,transferred to 60-day DL with surgery on right knee (out for season)
2019-03-19,2019-07-01,Athletics,• Chris Herrmann,placed on 60-day IL with surgery on right knee
2019-03-25,2019-11-04,Blue Jays,• Devon Travis,placed on 60-day IL recovering from surgery on left knee
2019-03-25,2019-09-02,Orioles,• Mark Trumbo,placed on 60-day IL with recovering from surgery on right knee
2019-05-20,2019-09-07,Mets,• Jed Lowrie,transferred to 60-day IL with sprained left knee capsule
2019-05-27,2019-10-31,Red Sox,• Dustin Pedroia,transferred to 60-day IL with left knee injury
2019-06-22,2019-07-15,Rays,• Anthony Bemboom,transferred to 60-day IL with sprained left knee
2019-06-24,2019-11-04,Phillies,• Andrew McCutchen,transferred to 60-day IL with torn ACL in left knee
2019-06-27,2019-11-04,Diamondbacks,• Steven Souza Jr.,transferred to 60-day IL with surgery on left knee
2019-08-11,2019-09-18,Yankees,• Giancarlo Stanton,transferred to 60-day IL with sprained PCL in right knee
2019-09-01,2019-11-04,Indians,• Tyler Naquin,transferred to 60-day IL with torn ACL in right knee
2019-09-05,2019-11-04,Braves,• Alex Jackson,placed on 60-day IL with sprained left knee
2020-02-23,2020-10-31,Red Sox,• Dustin Pedroia,placed on 60-day IL with left knee inflammation
2020-08-02,2020-10-28,Mets,• Jed Lowrie,transferred to 60-day IL with discomfort in left knee
2020-08-19,2020-10-28,Tigers,• C.J. Cron,transferred to 60-day IL with surgery on left knee
2020-08-23,2020-11-02,Astros,• Yordan Alvarez,transferred to 60-day IL with surgery on right knee to repair ligament damage
2020-08-30,2020-10-28,Mets,• Eduardo Nunez,transferred to 60-day IL with bruised left knee
2021-04-01,2021-10-29,Mets,• Jose Martinez,placed on 60-day IL with torn meniscus in left knee
2021-04-11,2021-07-01,Giants,• Jaylin Davis,placed on 60-day IL with patella tendinitis in left knee
2021-04-13,2021-11-03,Angels,• Dexter Fowler,transferred to 60-day IL with torn ACL in left knee
2021-04-26,2021-11-05,Rangers,• Ronald Guzman,transferred to 60-day IL with surgery on right knee to repair torn meniscus
2021-06-13,2021-08-15,Reds,• Nick Senzel,transferred to 60-day IL with surgery on left knee
2021-06-18,2021-11-05,Mariners,• Kyle Lewis,transferred to 60-day IL with torn meniscus in right knee
2021-07-11,2021-11-06,Braves,• Ronald Acuna Jr.,placed on 60-day IL with torn ACL in right knee
2021-07-25,2021-11-05,Yankees,• Tim Locastro,transferred to 60-day IL with torn ACL in right knee
2021-09-21,2021-11-07,Orioles,• DJ Stewart,placed on 60-day IL with osteochondral defect in right knee
2021-10-03,2021-11-05,Marlins,• Jesus Aguilar,transferred to 60-day IL with left knee inflammation
2021-10-03,2021-11-07,Yankees,• Luke Voit,transferred to 60-day IL with left knee inflammation (out for season)
2022-05-14,2022-07-25,Twins,• Miguel Sano,transferred to 60-day IL with surgery on left knee to repair torn meniscus
2022-05-22,2022-08-02,Yankees,• Ben Rortvedt,transferred to 60-day IL with surgery on left knee
