start,end,team,name,notes
2016-04-02,2016-07-28,Phillies,• Aaron Altherr,placed on 60-day DL recovering from surgery on left wrist to repair torn tendon
2016-08-25,2016-11-07,Dodgers,• Scott Van Slyke,transferred to 60-day DL with right wrist injury
2016-08-26,2016-11-03,Diamondbacks,• David Peralta,transferred to 60-day DL with right wrist inflammation
2017-04-20,2017-07-06,Athletics,• Marcus Semien,transferred to 60-day DL with bruised right wrist
2017-05-08,2017-07-10,Braves,• Micah Johnson,transferred to 60-day DL with fractured left wrist
2017-07-31,2017-09-08,Orioles,• J.J. Hardy,transferred to 60-day DL with fractured right wrist
2017-08-16,2017-08-29,Nationals,• Trea Turner,transferred to 60-day DL with fractured right wrist
2018-04-13,2018-07-06,Marlins,• Garrett Cooper,transferred to 60-day DL with bruised right wrist
2018-09-04,2018-10-31,Marlins,• Garrett Cooper,transferred to 60-day DL with sprained right wrist (out for season)
2019-03-27,2019-07-22,Padres,• Travis Jankowski,placed on 60-day IL with fractured left wrist
2019-09-01,2019-11-01,Cardinals,• Lane Thomas,transferred to 60-day IL with fractured right wrist
2019-09-01,2019-10-31,Tigers,• JaCoby Jones,transferred to 60-day IL with fractured left wrist
2019-09-20,2019-11-04,Rangers,• Joey Gallo,transferred to 60-day IL recovering from surgery on right wrist to repair fracture
2019-09-26,2019-11-04,Mets,• Jeff McNeil,placed on 60-day IL with fractured right wrist
2020-07-14,2020-11-02,Orioles,• Richie Martin,placed on 60-day IL with fractured right wrist
2020-08-10,2020-09-23,Royals,• Franchy Cordero,transferred to 60-day IL with fractured hamate bone in right wrist
2020-08-29,2020-11-02,Nationals,• Starlin Castro,transferred to 60-day IL with fractured right wrist
2020-09-22,2020-10-28,Tigers,• Jonathan Schoop,transferred to 60-day IL with sprained right wrist
2021-04-25,2021-06-13,Reds,• Aristides Aquino,transferred to 60-day IL with fractured hamate bone in left wrist
2021-05-05,2021-08-12,Cubs,• Austin Romine,transferred to 60-day IL with sprained left wrist
2021-05-09,2021-06-03,Pirates,• Ke'Bryan Hayes,transferred to 60-day IL with jammed left wrist
2021-05-30,2021-11-07,Yankees,• Aaron Hicks,transferred to 60-day IL with sprained left wrist / torn tendon in left wrist
2021-05-31,2021-08-02,Orioles,• Richie Martin,placed on 60-day IL with fractured left wrist
2021-08-23,2021-11-07,Yankees,• Miguel Andujar,transferred to 60-day IL with sprained left wrist
2022-04-07,2022-11-10,Padres,• Fernando Tatis Jr.,placed on 60-day IL with fractured left wrist
2022-06-01,2022-11-10,Braves,• Manny Pina,transferred to 60-day IL with surgery on left wrist
2022-06-15,2022-09-28,Angels,• Anthony Rendon,transferred to 60-day IL with surgery on right wrist
2022-06-17,2022-11-10,Pirates,• Canaan Smith-Njigba,placed on 60-day IL with fractured right wrist
2022-06-18,2022-09-28,Angels,• Anthony Rendon,transferred to 60-day IL with surgery on right wrist
2022-06-21,2022-11-10,Rangers,• Eli White,transferred to 60-day IL with fractured right wrist
2022-08-10,2022-11-06,Braves,• Adam Duvall,transferred to 60-day IL with surgery on left wrist
2022-08-23,2022-11-10,Twins,• Alex Kirilloff,transferred to 60-day IL recovering from ulnar shortening osteotomy surgery on right wrist
2022-08-27,2022-11-09,Brewers,• Alex Jackson,placed on 60-day IL with left wrist inflammation
2022-10-03,2022-11-10,Twins,• Kyle Garlick,transferred to 60-day IL with sprained left/right wrist
