key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
90007a42,90007a42-826a-4f10-a6ca-5ea33010f045,602922,rondj002,rondojo02,rondon002jos,14140,,,,,Q27031220,Rondón,José,José Gregorio,,Hidalgo,,1994,3,3,,,,2011,2024,2016,2021,,,,,,,,,,,,
90078695,90078695-9544-4fca-99f7-98e4965e8726,643524,schwf001,schwifr01,schwin000fra,15351,83785157,,,,Q62571001,Schwindel,Frank,Frank J.,,,,1992,6,29,,,,2013,2024,2019,2022,2011,2013,,,,,,,,,,
90083a6f,90083a6f-6a9c-47bb-a4fa-3a184f11ba2a,678246,vargm001,vargami01,vargas005mig,20178,,,,,,Vargas,Miguel,Miguel Antonio,,Echarry,,1999,11,17,,,,2014,2024,2022,2024,,,,,,,,,,,,
901e0787,901e0787-65b8-4f85-8aa7-5ee5c1eb611c,453269,boesb001,boescbr01,boesch001bre,914,,,,,Q2924450,Boesch,Brennan,Brennan Philip,,,,1985,4,12,,,,2006,2016,2010,2015,2004,2006,,,,,,,,,,
9037e817,9037e817-3366-4230-acaa-19cdc0d0afc9,666397,julie001,julieed01,julien000edo,27534,,,,,,Julien,Edouard,Edouard,,,,1999,4,30,,,,2021,2024,2023,2024,2018,2019,,,,,,,,,,
903f0052,903f0052-2703-40de-9c43-b0f3a2f43fe2,451705,rosaa002,rosaral01,rosari001alb,7125,,,,,Q25684173,Rosario,Alberto,Alberto,,,,1987,1,10,,,,2006,2020,2016,2017,,,,,,,,,,,,
9052f895,9052f895-37b3-4bc6-ba86-d6787a53093d,656685,martb002,martibr01,martin003bre,17369,,,,,Q63303084,Martin,Brett,Brett Ryan,,,,1995,4,28,,,,2014,2022,2019,2022,,,,,,,,,,,,
90545b3f,90545b3f-ea55-4709-8953-4303fc78ec61,661395,duraj002,duranjh01,duran-000jho,21029,,,,,Q111112152,Durán,Jhoan,Jhoan Manuel,,Sanchez,,1998,1,8,,,,2015,2024,2022,2024,,,,,,,,,,,,
905a130e,905a130e-e77b-47fd-a1b8-9657be465096,450282,perkg001,perkigl01,perkin001gle,8041,,,,,Q3108695,Perkins,Glen,Glen Weston,,,,1983,3,2,,,,2004,2017,2006,2017,2003,2004,,,,,,,,,,
905d797d,905d797d-ca6f-4b02-855e-a3eebaa78996,465657,sorij001,soriajo01,soria-001joa,6941,,,,,Q947609,Soria,Joakim,Joakim Agustin,,Ramos,,1984,5,18,,,,2002,2021,2007,2021,,,,,,,,,,,,
905f884b,905f884b-bbf2-4572-bfbe-b375bc30c176,680776,duraj001,duranja01,duran-000jar,24617,,,,,Q105755584,Duran,Jarren,Jarren William,,,,1996,9,5,,,,2018,2024,2021,2024,2016,2018,,,,,,,,,,
90760216,90760216-6b85-482e-806c-f3fcc26b1e9d,687396,headb001,headrbr01,headri000bre,27702,,,,,,Headrick,Brent,Brent Wayne,,,,1997,12,17,,,,2019,2024,2023,2024,2017,2019,,,,,,,,,,
90a0e373,90a0e373-e472-4419-8332-35d780910596,635903,rowlc001,rowlech01,rowley000chr,18820,,,,,Q36562790,Rowley,Chris,Christopher Ryan,,,,1990,8,14,,,,2013,2019,2017,2018,2010,2013,,,,,,,,,,
90a68cd9,90a68cd9-17df-41ad-835a-fac7bde312b0,626929,thorl002,thorple01,thorpe000lew,15906,,,,,Q15917327,Thorpe,Lewis,Lewis James,,,,1995,11,23,,,,2012,2024,2019,2021,,,,,,,,,,,,
90b8d4c9,90b8d4c9-8faa-414a-b54e-894b35ef3e6b,448179,hillr001,hillri01,hill--002ric,4806,,,,,Q3430418,Hill,Rich,Richard Joseph,,,,1980,3,11,,,,2002,2024,2005,2024,2000,2002,,,,,,,,,,
90c834fe,90c834fe-0378-47d7-b4f8-d2323eb71235,431162,staut001,staufti01,stauff001tim,6432,,,,,Q3528696,Stauffer,Tim,Timothy James,,,,1982,6,2,,,,2004,2015,2005,2015,2001,2003,,,,,,,,,,
90d7643e,90d7643e-91fc-430e-b97f-24463f7f43b5,434672,smitc002,smithch08,smith-005chr,4544,,,,,Q5108106,Smith,Chris,Christopher Michael,,,,1981,4,9,,,,2002,2017,2008,2017,2000,2002,,,,,,,,,,
90dd4810,90dd4810-72b0-4af5-82f5-a9d546fde74a,657658,lee-b001,leebr01,lee---004bra,16839,,,,,Q50813334,Lee,Braxton,Braxton Russell,,,,1993,8,23,,,,2014,2023,2018,2018,2014,2014,,,,,,,,,,
90eac210,90eac210-bf60-43ad-9e01-18bbbcdf7d83,453895,ryanb002,ryanbr01,ryan--001bre,6073,,,,,Q2924438,Ryan,Brendan,Brendan Wood,,,,1982,3,26,,,,2003,2017,2007,2016,2001,2003,,,,,,,,,,
9105bda5,9105bda5-cc25-43e7-82d3-99ac381893d9,571681,fuenr001,fuentre01,fuente001rey,10329,,,,,Q7319517,Fuentes,Rey,Reymond Louis,,,,1991,2,12,,,,2009,2024,2013,2017,,,,,,,,,,,,
