key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
a028ceae,a028ceae-cdbf-481b-99db-fa0fb21c342b,622268,waltd002,waltodo01,walton000don,19314,,,,,Q67203325,Walton,Donovan,Donovan Robert,,,,1994,5,25,,,,2016,2024,2019,2024,2013,2016,,,,,,,,,,
a037bacd,a037bacd-3097-4530-9a21-e083b813e20b,657108,white005,whiteev01,white-002eva,20078,,,,,Q30093160,White,Evan,Evan McKee,,,,1996,4,26,,,,2017,2024,2020,2021,2015,2017,,,,,,,,,,
a03b3a2e,a03b3a2e-8c60-4eb3-8234-af108b09d9ab,545404,beacb001,beachbr01,beache001bra,8851,,,,,Q2923744,Beachy,Brandon,Brandon Alan,,,,1986,9,3,,,,2008,2020,2010,2015,,,,,,,,,,,,
a040c955,a040c955-af92-4b4c-a231-208d72c39e91,457760,dornd001,dornda01,dorn--001dan,1050,,,,,Q19828943,Dorn,Danny,Daniel Casey,,,,1984,7,20,,,,2006,2018,2015,2015,,,2019,2019,,,,,,,,
a041e033,a041e033-14dc-49e3-9f96-0ca9ea68eaee,594992,shack001,shackke01,shacke001kev,11012,93795153,,,,Q31213307,Shackelford,Kevin,Kevin Russell,,,,1989,4,7,,,,2010,2021,2017,2018,,,,,,,,,,,,
a04c52e4,a04c52e4-ce49-40c5-8460-39c9c7d3b2e6,543329,hoodd001,hoodde01,hood--001des,9887,,,,,Q17418749,Hood,Destin,Destin Dwane,,,,1990,4,3,,,,2008,2019,2016,2016,,,,,,,,,,,,
a04c653e,a04c653e-1358-4f75-ac43-9ff44fc18f4c,592592,nichb001,nichobr01,nichol001bre,11192,,,,,Q22279401,Nicholas,Brett,Brett James,,,,1988,7,18,,,,2010,2019,2016,2017,,,,,,,,,,,,
a08f447c,a08f447c-9aa0-413a-88a6-3aea6f3f5107,500891,ibare001,ibarred01,ibarra001edg,5195,,,,,Q20032073,Ibarra,Edgar,Edgar Alexander,,,,1989,5,31,,,,2006,2022,2015,2015,,,,,,,,,,,,
a097be0c,a097be0c-00c7-479d-b570-f311fb05b7c6,572365,goinr001,goinsry01,goins-001rya,9807,,,,,Q15303540,Goins,Ryan,Ryan Matthew,,,,1988,2,13,,,,2009,2022,2013,2020,2007,2009,,,,,,,,,,
a09991db,a09991db-945c-4c1e-bdc7-fdd2a25be13f,493343,olivh001,olivehe01,oliver000hec,17528,,,,,Q3267236,Olivera,Héctor,Héctor,,Amaro,,1985,4,5,,,,2003,2017,2015,2016,,,,,,,,,,,,
a09a06e2,a09a06e2-4576-4bf1-83ae-d0de3c171925,656620,klobg001,kloboga01,klobos000gab,19881,,,,,Q107724992,Klobosits,Gabe,Gabe Michael,,,,1995,5,16,,,,2017,2024,2021,2021,2016,2017,,,,,,,,,,
a0c094a7,a0c094a7-c1d4-4c7b-ba98-a59f530fe4dc,595798,alanr001,alanirj01,alaniz001rub,10819,,,,,Q22958354,Alaniz,R. J.,Ruben,,,,1991,6,14,,,,2010,2024,2019,2021,,,,,,,,,,,,
a0e6a929,a0e6a929-b6cd-4ff3-93c5-f18c6f37ff6a,605397,musgj001,musgrjo01,musgro000joe,12970,,,,,Q26251052,Musgrove,Joe,Joseph Anthony,,,,1992,12,4,,,,2011,2024,2016,2024,,,,,,,,,,,,
a0e72513,a0e72513-adfa-403d-8fe8-4a70cc7a125a,571670,flord002,florody01,floro-001dyl,13394,,,,,Q25682974,Floro,Dylan,Dylan Lee,,,,1990,12,27,,,,2012,2024,2016,2024,2010,2012,,,,,,,,,,
a149a141,a149a141-4f16-4197-ad2b-420489dc78a3,676369,velan001,velazne01,velazq000nel,23359,,,,,Q110256256,Velázquez,Nelson,Nelson Javier,,Romero,,1998,12,26,,,,2017,2024,2022,2024,,,,,,,,,,,,
a1752adc,a1752adc-9861-46f9-be91-4e25d7639556,611177,garca004,garciad01,garcia004ado,13777,,,,,Q4684530,García,Adonis,Adonis,,Arrieta,,1985,4,12,,,,2003,2021,2015,2017,,,,,,,,,,,,
a17662fb,a17662fb-c278-4f07-98dc-a5651a45f176,592753,sland001,slanida01,slania001dan,15639,,,,,Q30040053,Slania,Dan,Daniel Alexander,,,,1992,5,24,,,,2013,2018,2017,2017,2011,2013,,,,,,,,,,
a17fdad7,a17fdad7-7b30-4a54-beb6-ab64804c3c02,572021,pazoj001,pazosja01,pazos-001jam,13323,,,,,Q20936781,Pazos,James,James Manuel,,,,1991,5,5,,,,2012,2023,2015,2020,2011,2012,,,,,,,,,,
a18e4dbc,a18e4dbc-cec3-463c-aeff-05c9b8a79cf4,493351,ramia003,ramiral03,ramire005ale,5133,,,,,Q2834319,Ramírez,Alexei,Alexei Fernando,,Rodríguez,The Cuban Missile,1981,9,22,,,,2000,2018,2008,2016,,,,,,,,,,,,
a1a27de6,a1a27de6-f7e1-49f5-a007-7bd3d7458ee3,621141,lockw001,lockewa01,locket000and,13804,,,,,Q54860667,Lockett,Walker,Andrew Walker,,,,1994,5,3,,,,2012,2024,2018,2020,,,,,,,,,,,,
a1a40de8,a1a40de8-5274-4525-afc9-0aa96de469a3,452061,philz001,phillza01,philli001zac,99,53155139,,,,Q3574506,Phillips,Zach,Zachary David,,,,1986,9,21,,,,2005,2024,2011,2016,,,,,,,,,,,,
a1a6de90,a1a6de90-4c91-4f8f-aaca-714f57a379d3,642701,santd003,santade01,santan000den,17878,,,,,Q54611371,Santana,Dennis,Dennis Anfernee,,Sanchez,,1996,4,12,,,,2013,2024,2018,2024,,,,,,,,,,,,
a1b0b3d8,a1b0b3d8-f694-4049-a305-e8cf4b1677af,672744,canaa001,canaral01,canari000ale,22842,,,,,,Canario,Alexander,Alexander,,Gonzalez,,2000,5,7,,,,2017,2024,2023,2024,,,,,,,,,,,,
a1d7c012,a1d7c012-05ab-46e9-a854-0bd615bd6473,445170,redmt002,redmoto01,redmon001tod,9943,,,,,Q3530270,Redmond,Todd,Todd Richard,,,,1985,5,17,,,,2005,2016,2012,2015,,,,,,,,,,,,
a1e8accc,a1e8accc-d7f7-444b-a2bf-bba1a13ba110,669721,danid001,danieda01,daniel008dav,27582,,,,,,Daniel,Davis,Robert Davis,,,,1997,6,11,,,,2021,2024,2023,2024,2017,2019,,,,,,,,,,
a1eabe4f,a1eabe4f-cb41-42ac-9ef8-f85f2b08d139,518542,centj001,centeju01,centen002jua,7168,,,,,Q6664134,Centeno,Juan,Juan Carlos,,,,1989,11,16,,,,2007,2024,2013,2019,,,,,,,,,,,,
a1f43d81,a1f43d81-4477-435f-8d07-317bba198009,519425,willj005,willija01,willia007jac,8524,,,,,Q17640633,Williams,Jackson,Jackson Thomas,,,,1986,5,14,,,,2007,2018,2014,2015,,,,,,,,,,,,
