key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
c013d2ce,c013d2ce-ca99-4b6e-9c90-e6823e824db2,605525,wendj001,wendejb01,wendel000jef,14506,13715157,,,,Q24049023,Wendelken,J. B.,Jeffrey Benjamin,,,,1993,3,24,,,,2012,2024,2016,2022,,,,,,,,,,,,
c01c03f7,c01c03f7-eb92-44e3-8172-b6c71760825e,665622,medil002,medinlu02,medina007lui,21649,,,,,,Medina,Luis,Luis Angel,,Bonilla,,1999,5,3,,,,2016,2024,2023,2024,,,,,,,,,,,,
c0374d84,c0374d84-ff8e-48e0-9437-fc76c0f3f30b,451596,gally001,gallayo01,gallar001yov,8173,,,,,Q3112718,Gallardo,Yovani,Yovani,,,,1986,2,27,,,,2004,2018,2007,2018,,,,,,,,,,,,
c06ce02d,c06ce02d-c492-4138-a8e5-4070290d3ca0,607405,cornj002,cornejo01,cornel000fra,12364,,,,,Q19844529,Cornely,John,John Francis,,,,1989,5,17,,,,2011,2015,2015,2015,2008,2011,,,,,,,,,,
c06ec0de,c06ec0de-302e-48a6-8891-0ceb0f64e697,670623,parei001,paredis01,parede000isa,20036,,,,,Q98454850,Paredes,Isaac,Isaac Edgardo,,Calderon,,1999,2,18,,,,2016,2024,2020,2024,,,,,,,,,,,,
c076985f,c076985f-0b74-489c-9661-838faa8ba592,680963,wilsc005,wilsoco01,wilson000cod,24671,,,,,Q106415581,Wilson,Cody,Cody Roger George,,,,1996,7,4,,,,2018,2024,2021,2021,2018,2018,,,,,,,,,,
c0897bfc,c0897bfc-301a-4824-ae51-9e596543cd14,518858,jonen001,jonesna01,jones-001nat,4696,,,,,Q3336506,Jones,Nate,Nathan Andrew,,,,1986,1,28,,,,2007,2021,2012,2021,2005,2007,,,,,,,,,,
c08a68c8,c08a68c8-3069-4a51-a5c0-44e784ce758d,542963,branr002,brantro01,brantl001rob,10655,,,,,Q115242,Brantly,Rob,Robert Jacob,,,,1989,7,14,,,,2010,2024,2012,2024,2009,2010,,,,,,,,,,
c0a1a243,c0a1a243-a4f2-42ab-9a26-79e1da683ca9,553993,suare001,suareeu01,suarez001eug,12552,,,,,Q17089035,Suárez,Eugenio,Eugenio Alejandro,,,,1991,7,18,,,,2009,2024,2014,2024,,,,,,,,,,,,
c0bf77a8,c0bf77a8-675f-4df8-a5bf-56e5b6f451d5,476123,markj001,marksju01,marks-001jus,10265,,,,,Q16548491,Marks,Justin,Justin Michael,,,,1988,1,12,,,,2009,2017,2014,2017,,,,,,,,,,,,
