key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
d0468806,d0468806-3b2e-4aec-8531-96be96449fae,519166,ramin001,ramirne01,ramire001nei,7677,,,,,Q6989191,Ramírez,Neil,Neil Andrew,,,,1989,5,25,,,,2008,2024,2014,2019,,,,,,,,,,,,
d07b0f61,d07b0f61-dd38-453a-ac26-42485d5d0ad3,681464,germf002,germafr02,german004fra,24750,,,,,,German,Frank,Franklin Adolfo,,,,1997,9,22,,,,2018,2023,2022,2022,2016,2018,,,,,,,,,,
d0cfb4ed,d0cfb4ed-eeab-4980-a6ae-1c8ca71897d2,669461,libem001,liberma01,libera000mat,22294,,,,,,Liberatore,Matthew,Matthew Joseph,,,,1999,11,6,,,,2018,2024,2022,2024,,,,,,,,,,,,
d0d12947,d0d12947-af46-4929-b669-e3bd4db19f5a,608360,okeyc001,okeych01,okey--001chr,19245,,,,,,Okey,Chris,Christopher Campbell,,,,1994,12,29,,,,2016,2024,2022,2023,2014,2016,,,,,,,,,,
d0dc6fae,d0dc6fae-01d6-47a2-84c5-0c7a701d8398,656896,rivee001,riverem01,rivera000emm,19890,,,,,,Rivera,Emmanuel,Emmanuel Miguel,,Perez,,1996,6,29,,,,2015,2024,2021,2024,,,,,,,,,,,,
d109a961,d109a961-8fec-4599-ba5f-6af21601a03e,669352,thomb003,thompbu01,thomps000bub,22261,,,,,,Thompson,Bubba,Leslie Arnold,,,,1998,6,9,,,,2017,2024,2022,2024,,,,,,,,,,,,
d121d23e,d121d23e-5e5b-4715-90a2-7057bf93d1b5,623214,avela001,aveliab01,avelin000abi,15496,,,,,Q56485531,Avelino,Abiatal,Abiatal,,,,1995,2,14,,,,2012,2024,2018,2019,,,,,,,,,,,,
d175252a,d175252a-c22e-4c8b-9e12-948b1c5d9535,591701,chaca001,chacial01,chacin001ale,13530,,,,,Q37826253,Chacín,Alejandro,David Alejandro,,Bravo,,1993,6,24,,,,2010,2024,2017,2017,,,,,,,,,,,,
d19b960b,d19b960b-fed9-44c6-b6f6-4d82e2cfa932,663697,indij001,indiajo01,india-000joh,21523,,,,,Q52210990,India,Jonathan,Jonathan Joseph,,,,1996,12,15,,,,2018,2024,2021,2024,2016,2018,,,,,,,,,,
d1cc5a02,d1cc5a02-1972-457f-90c2-0acb33274d79,656537,hilld002,hillde01,hill--000der,16947,,,,,,Hill,Derek,Derek Jerome,,,,1995,12,30,,,,2014,2024,2020,2024,,,,,,,,,,,,
d1f7ed58,d1f7ed58-d7ea-4b2a-ab1c-b517ee66e195,682641,matol002,matoslu02,matos-006lui,26467,,,,,,Matos,Luis,Luis Eduardo,,Cubillan,,2002,1,28,,,,2019,2024,2023,2024,,,,,,,,,,,,
d2068636,d2068636-fee0-4c7a-86bd-fbab58d7aeea,670550,rodrn002,rodrini01,rodrig000niv,22449,,,,,,Rodriguez,Nivaldo,Nivaldo Apolinar,,Granadillo,,1997,4,16,,,,2016,2024,2020,2021,,,,,,,,,,,,
d22353d0,d22353d0-3207-46a6-bbc1-fa97f64d78fd,594965,poncd001,ponceda01,ponced001dan,16110,,,,,Q54959188,Ponce de Leon,Daniel,Daniel Robert,,,,1992,1,16,,,,2014,2024,2018,2021,2011,2013,,,,,,,,,,
