Date,Team,Relinquished,Notes
2014-03-03,Rangers,• Derek Holland,placed on 60-day DL recovering from surgery on left knee
2014-03-07,Padres,• Cory Luebke,"placed on 60-day DL recovering from ligament replacement (""Tommy John"") surgery on left elbow"
2014-03-15,Dodgers,• Onelki Garcia,placed on 60-day DL recovering from surgery on left elbow
2014-03-19,Diamondbacks,• Cody Ross,placed on 15-day DL recovering from surgery to repair fractured right hip
2014-03-19,Diamondbacks,• Matt Reynolds (Paul),"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on left elbow"
2014-03-19,Dodgers,• Chad Billingsley,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-19,Dodgers,• Josh Beckett,placed on 15-day DL with sprained right thumb
2014-03-19,Dodgers,• Matt Kemp,placed on 15-day DL recovering from surgery on left ankle
2014-03-20,Athletics,• Jarrod Parker (Brent),"placed on 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-23,Braves,• Brandon Beachy,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-23,Braves,• Gavin Floyd,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-23,Braves,• Jonny Venters,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on left elbow"
2014-03-23,Braves,• Kris Medlen,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-23,Braves,• Mike Minor,placed on 15-day DL with left shoulder tendinitis
2014-03-24,Indians,• Michael Bourn,placed on 15-day DL with strained left hamstring
2014-03-26,Blue Jays,• J.A. Happ,placed on 15-day DL with strained back
2014-03-26,Braves,• Kris Medlen,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-26,Rangers,• Engel Beltre,placed on 60-day DL with fractured right tibia
2014-03-26,Nationals,• Ross Ohlendorf,transferred to 60-day DL with sprained right lumbar
2014-03-27,Phillies,• (Jon) Mike Adams,placed on 15-day DL recovering from surgery on right shoulder
2014-03-27,Phillies,• Cole Hamels,placed on 15-day DL with biceps tendinitis
2014-03-27,Phillies,• Darin Ruf,placed on 15-day DL with strained left oblique
2014-03-27,Phillies,• Ethan Martin,placed on 15-day DL with strained right shoulder
2014-03-27,Phillies,• Freddy Galvis,placed on 15-day DL with staph infection in left knee
2014-03-27,Phillies,• Miguel Alfredo Gonzalez / Miguel Gonzalez (Alfredo),placed on 15-day DL with right shoulder injury
2014-03-27,Red Sox,• Craig Breslow,placed on 15-day DL with strained left shoulder
2014-03-27,Red Sox,• Steven Wright,placed on 15-day DL recovering from surgery to repair sports hernia
2014-03-28,Athletics,• Ryan Cook (William),placed on 15-day DL with right shoulder inflammation
2014-03-28,Rockies,• Boone Logan,placed on 15-day DL with left elbow inflammation
2014-03-28,Rockies,• Jhoulys Chacin,placed on 15-day DL with strained right shoulder
2014-03-29,Angels,• Brian Moran,placed on 15-day DL with left elbow inflammation
2014-03-29,Angels,• Dane De La Rosa,placed on 15-day DL with right forearm inflammation
2014-03-29,Angels,• Ryan Brasier,placed on 15-day DL with strained right elbow
2014-03-29,Angels,• Sean Burnett,placed on 15-day DL recovering from surgery on left elbow
2014-03-29,Astros,• Alex White,"placed on 15-day DL recovering from ligament replacement (""Tommy John"") surgery on elbow"
2014-03-29,Astros,• Asher Wojciechowski,placed on 15-day DL with strained right lat muscle
