2016-03-01,Mariners,• Jesus Sucre,placed on 60-day DL with fractured fibula in leg
2016-04-02,Brewers,• Rymer Liriano,transferred to 60-day DL with facial fractures
2016-04-02,Phillies,• Aaron Altherr,placed on 60-day DL recovering from surgery on left wrist to repair torn tendon
2016-04-05,Diamondbacks,• AJ Pollock,transferred to 60-day DL with fractured right elbow
2016-04-10,Dodgers,• Andre Ethier,transferred to 60-day DL with fractured tibia in right leg
2016-04-10,Rangers,• Robinson Chirinos,placed on 60-day DL with fractured right forearm
2016-04-11,Cubs,• Kyle Schwarber,"transferred to 60-day DL with torn ligaments in left knee, sprained left ankle (out for season)"
2016-04-22,Giants,• Ehire Adrianza,transferred to 60-day DL with fractured left foot
2016-04-29,Athletics,• Sam Fuld,transferred to 60-day DL with strained left shoulder (out for season)
2016-05-01,Reds,• Kyle Skipworth,transferred to 60-day DL recovering from surgery on left ankle
2016-05-03,Cubs,• Christian Villanueva,transferred to 60-day DL with fractured fibula in right leg
2016-05-06,Red Sox,• Pablo Sandoval,transferred to 60-day DL recovering from surgery on left shoulder
2016-05-07,Rangers,• Josh Hamilton,transferred to 60-day DL recovering from surgery on left knee
2016-05-07,Reds,• Devin Mesoraco,transferred to 60-day DL with torn labrum in left shoulder
2016-05-11,Athletics,• Eric Sogard,transferred to 60-day DL with cervical strain / recovering from surgery on left knee (MLB) (out for season)
2016-05-14,Indians,• Roberto Perez,transferred to 60-day DL with recovering from surgery to repair fractured right thumb
2016-05-14,Yankees,• Greg Bird,transferred to 60-day DL recovering from surgery to repair torn labrum in right shoulder (out for season)
2016-05-14,Yankees,• Mason Williams,transferred to 60-day DL recovering from surgery on right shoulder
2016-05-19,Pirates,• Elias Diaz,transferred to 60-day DL with discomfort in right elbow / strained right elbow / right elbow debridement (MLB)
2016-05-22,Reds,• Yorman Rodriguez,transferred to 60-day DL with strained left hamstring
2016-06-04,Yankees,• Dustin Ackley,transferred to 60-day DL with dislocated right shoulder
2016-06-11,Angels,• Craig Gentry,transferred to 60-day DL with strained right lumbar spine
2016-06-11,Athletics,• Mark Canha,transferred to 60-day DL with strained back (out for season)
2016-06-14,Royals,• Mike Moustakas,transferred to 60-day DL with torn ACL in right knee
2016-06-29,Rangers,• Drew Stubbs,transferred to 60-day DL with sprained left little toe
2016-07-03,Indians,• Michael Brantley,transferred to 60-day DL with right shoulder fatigue/inflammation
2016-07-04,Athletics,• Andrew Lambo,placed on 60-day DL with testicular cancer (out for season)
2016-07-05,Mets,• David Wright,transferred to 60-day DL with herniated disc in neck
2016-07-06,Mariners,• Steve Clevenger,transferred to 60-day DL with fractured right hand
2016-07-06,Padres,• Jemile Weeks,transferred to 60-day DL with strained right hamstring
2016-07-08,Red Sox,• Blake Swihart,transferred to 60-day DL with sprained left ankle
2016-07-14,Red Sox,• Josh Rutledge,transferred to 60-day DL with patellar tendinitis in left knee (surgery)
2016-07-17,White Sox,• Matt Davidson,transferred to 60-day DL with fractured right foot
2016-07-18,Angels,• Cliff Pennington,transferred to 60-day DL with strained left hamstring
2016-08-01,Rangers,• Prince Fielder,transferred to 60-day DL with herniated discs in neck
2016-08-06,Athletics,• Josh Phegley,transferred to 60-day DL with strained right knee / cyst in right knee (out for season)
2016-08-07,Dodgers,• Trayce Thompson,transferred to 60-day DL with lower back injury
2016-08-09,Cardinals,• Brayan Pena,transferred to 60-day DL with left knee inflammation
2016-08-10,Braves,• Mallex Smith,transferred to 60-day DL with fractured left thumb
2016-08-10,Mets,• Lucas Duda,transferred to 60-day DL with stress fracture in lower back
2016-08-13,Padres,• Cory Spangenberg,transferred to 60-day DL with strained left quadriceps
2016-08-17,Athletics,• Jed Lowrie,transferred to 60-day DL recovering from surgery to remove bunion on left foot (out for season)
2016-08-23,Marlins,• Justin Bour,transferred to 60-day DL with sprained right ankle
2016-08-25,Dodgers,• Scott Van Slyke,transferred to 60-day DL with right wrist injury
2016-08-26,Diamondbacks,• David Peralta,transferred to 60-day DL with right wrist inflammation
2016-08-27,Padres,• Jon Jay,transferred to 60-day DL with fractured right forearm
2016-08-31,Indians,• Yan Gomes,transferred to 60-day DL with separated right shoulder
2016-08-31,Mets,• Justin Ruggiano,transferred to 60-day DL with left shoulder injury
2016-08-31,Orioles,• Joey Rickard,transferred to 60-day DL with right thumb ligament injury
2016-09-06,Mets,• Neil Walker,placed on 60-day DL with herniated disk in lower back
2016-09-06,Twins,• Danny Santana,transferred to 60-day DL with sprained AC joint in left shoulder
2016-09-08,Rays,• Matt Duffy,placed on 60-day DL recovering from surgery on left Achilles
2016-09-09,Diamondbacks,• Nick Ahmed,transferred to 60-day DL with right hip impingement
2016-09-13,Pirates,• Chris Stewart,placed on 60-day DL with left knee injury
2016-09-13,Pirates,• Elias Diaz,placed on 60-day DL with cellulitis in left knee
2016-09-17,Braves,• A.J. Pierzynski,transferred to 60-day DL with strained left hamstring
2016-09-18,Orioles,• Steve Pearce,placed on 60-day DL with strained flexor mass in right elbow
2016-09-21,Rays,• Steven Souza Jr.,placed on 60-day DL recovering from surgery on left hip to repair impingement and torn labrum
2016-09-26,Pirates,• Josh Harrison,placed on 60-day DL with strained right groin
